feature,importance
vol_63,0.049968578
risco_mercado_63,0.04944297
mes_08,0.048284147
obv_z21,0.046725344
dist_ema_21,0.044390086
beta_63,0.043589283
mom_126,0.04321551
mom_63,0.043100435
vol_21,0.03940448
z_alpha_63,0.038458087
dist_ema_63,0.038300257
atr_21,0.038242053
mes_10,0.036742423
mom_252,0.033080302
trend_mercado_21,0.032571014
beta_21,0.03251598
trend_mercado_63,0.029525632
bb_pctb_21,0.027366793
risco_mercado_21,0.02556747
cs_rank_21,0.025174744
mes_02,0.02247954
rsi_21,0.022458062
lag_ret_21,0.019660085
vol_rel_63,0.019462505
mom_21,0.018307189
cs_rank_126,0.01796324
cs_rank_63,0.016901432
vol_rel_21,0.016747896
vwap_dist_21,0.016504616
force_idx_z21,0.015901588
macro_usdbrl_ret,0.014307769
lag_ret_5,0.013879145
z_alpha_21,0.011304454
macro_ibov_ret,0.008456963
lag_ret_1,0.0
dow_seg,0.0
dow_ter,0.0
dow_sex,0.0
mes_01,0.0
dow_qui,0.0
dow_qua,0.0
mes_04,0.0
mes_03,0.0
mes_06,0.0
mes_05,0.0
mes_07,0.0
mes_09,0.0
mes_11,0.0
mes_12,0.0
