feature,shap_mean_abs
mom_126,0.0895163
risco_mercado_63,0.08474245
vol_63,0.045108408
mom_252,0.029400833
beta_63,0.028628746
mom_63,0.025501385
risco_mercado_21,0.025218306
mom_21,0.014666517
dist_ema_63,0.012510941
trend_mercado_21,0.012137496
atr_21,0.011173524
trend_mercado_63,0.011061043
mes_04,0.009239488
mes_10,0.008685294
rsi_21,0.0077140634
vwap_dist_21,0.0059456876
cs_rank_126,0.0057373345
beta_21,0.0056541967
mes_01,0.0055956286
bb_pctb_21,0.0055160876
mes_11,0.0036249466
vol_21,0.0023229385
cs_rank_21,0.0020192848
mes_05,0.0018818469
cs_rank_63,0.0014110317
mes_06,0.00107182
macro_ibov_ret,0.0008564878
vol_rel_21,0.000747193
z_alpha_63,0.00054650573
force_idx_z21,0.00035074388
dist_ema_21,0.0003109014
mes_12,0.00021931247
obv_z21,7.401298e-05
macro_usdbrl_ret,2.5154854e-05
lag_ret_21,0.0
lag_ret_5,0.0
lag_ret_1,0.0
vol_rel_63,0.0
z_alpha_21,0.0
dow_seg,0.0
dow_ter,0.0
mes_03,0.0
mes_02,0.0
dow_qui,0.0
dow_sex,0.0
dow_qua,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
