feature,importance
mom_252,0.11986588
mes_01,0.069854766
mom_126,0.06814083
vol_21,0.061202623
cs_rank_63,0.05603125
atr_21,0.049867302
risco_mercado_63,0.046247296
mes_10,0.045209985
mom_21,0.04086811
mes_06,0.033266578
beta_63,0.032264255
mom_63,0.031581845
beta_21,0.031540148
rsi_21,0.030904558
vol_63,0.029491687
mes_05,0.028665157
dist_ema_63,0.02690492
trend_mercado_63,0.02190277
mes_09,0.021496568
dist_ema_21,0.020653024
cs_rank_21,0.01704353
mes_02,0.015565364
risco_mercado_21,0.0153647885
mes_04,0.014483845
cs_rank_126,0.01222626
vwap_dist_21,0.011917537
trend_mercado_21,0.0117846
obv_z21,0.01156725
bb_pctb_21,0.0087571135
lag_ret_21,0.008738627
lag_ret_5,0.002171192
vol_rel_63,0.0018497779
force_idx_z21,0.0010895238
z_alpha_21,0.0009705316
z_alpha_63,0.0005105151
vol_rel_21,0.0
lag_ret_1,0.0
dow_seg,0.0
macro_usdbrl_ret,0.0
macro_ibov_ret,0.0
dow_ter,0.0
mes_03,0.0
dow_qua,0.0
dow_qui,0.0
dow_sex,0.0
mes_08,0.0
mes_07,0.0
mes_11,0.0
mes_12,0.0
