feature,importance
risco_mercado_21,0.042930946
cs_rank_63,0.04237239
trend_mercado_63,0.041314106
trend_mercado_21,0.041178007
dist_ema_63,0.040729146
mom_63,0.04017319
dist_ema_21,0.039970268
lag_ret_1,0.037432935
mom_21,0.0374139
z_alpha_63,0.037300102
lag_ret_5,0.03651103
vol_63,0.036029175
cs_rank_126,0.0357152
beta_21,0.03520806
rsi_21,0.034686796
mom_126,0.03349999
risco_mercado_63,0.032407127
z_alpha_21,0.03188406
macro_ibov_ret,0.031841923
vol_21,0.029334363
atr_21,0.029208349
obv_z21,0.028956816
vol_rel_63,0.028705826
bb_pctb_21,0.02551762
cs_rank_21,0.02397378
lag_ret_21,0.021124706
mom_252,0.020515088
macro_usdbrl_ret,0.0204147
beta_63,0.017839711
force_idx_z21,0.01576726
dow_qua,0.015072209
vwap_dist_21,0.014971189
vol_rel_21,0.0
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_sex,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
