feature,shap_mean_abs
risco_mercado_63,0.025363889
vol_21,0.014923192
dist_ema_63,0.01303071
vol_63,0.012407398
cs_rank_126,0.009794672
trend_mercado_63,0.008547535
mom_63,0.008504232
mom_126,0.007802012
mes_01,0.007022049
trend_mercado_21,0.0067425123
rsi_21,0.0054290094
mes_08,0.005268704
mom_21,0.004856519
beta_63,0.004289263
vol_rel_63,0.0041899723
beta_21,0.003627246
cs_rank_63,0.0033653206
mes_05,0.0033113002
atr_21,0.0024464333
mom_252,0.002417228
risco_mercado_21,0.0023310625
vwap_dist_21,0.0021742086
vol_rel_21,0.0021727285
macro_usdbrl_ret,0.0021002283
lag_ret_21,0.001808402
lag_ret_5,0.001711026
dist_ema_21,0.0015655663
macro_ibov_ret,0.0013367159
z_alpha_21,0.0013162598
obv_z21,0.0012038663
bb_pctb_21,0.0011279408
lag_ret_1,0.0011035219
z_alpha_63,0.0009991212
mes_02,0.0006512637
cs_rank_21,0.00053691736
force_idx_z21,0.000509817
mes_09,0.00035816128
dow_seg,0.0
dow_sex,0.0
dow_ter,0.0
dow_qua,0.0
mes_04,0.0
mes_03,0.0
dow_qui,0.0
mes_06,0.0
mes_07,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
