feature,importance
risco_mercado_63,0.09434539
mes_05,0.08696886
beta_21,0.0756181
risco_mercado_21,0.06909528
vol_63,0.064345576
trend_mercado_63,0.06388865
dist_ema_63,0.061251245
mes_01,0.060828198
mes_02,0.047561273
mom_63,0.043110795
cs_rank_126,0.035682436
beta_63,0.03386305
mom_21,0.03039309
mom_252,0.029241752
dist_ema_21,0.026612494
atr_21,0.023295963
cs_rank_21,0.018890405
vol_21,0.018651256
mes_09,0.01694624
cs_rank_63,0.016265623
bb_pctb_21,0.015589898
mom_126,0.012075195
obv_z21,0.009224347
force_idx_z21,0.008813306
macro_ibov_ret,0.008281499
lag_ret_5,0.008032636
mes_08,0.008018217
vol_rel_63,0.006269308
trend_mercado_21,0.004483776
vwap_dist_21,0.0023561101
vol_rel_21,0.0
lag_ret_21,0.0
lag_ret_1,0.0
rsi_21,0.0
macro_usdbrl_ret,0.0
z_alpha_21,0.0
z_alpha_63,0.0
dow_seg,0.0
dow_sex,0.0
dow_ter,0.0
dow_qua,0.0
mes_04,0.0
mes_03,0.0
dow_qui,0.0
mes_06,0.0
mes_07,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
