feature,importance
atr_21,0.12481073
mom_252,0.09555807
trend_mercado_63,0.086013675
risco_mercado_63,0.0677877
risco_mercado_21,0.04986529
rsi_21,0.04446427
mom_126,0.044075992
vol_21,0.04383035
mom_63,0.042250678
cs_rank_21,0.038750343
dist_ema_63,0.03862714
mes_09,0.036228377
bb_pctb_21,0.03352605
cs_rank_63,0.0299171
mes_10,0.028928038
beta_63,0.025404396
mom_21,0.024584662
vol_63,0.024316475
beta_21,0.0224814
trend_mercado_21,0.02035268
z_alpha_63,0.018267542
z_alpha_21,0.013948599
obv_z21,0.013182723
force_idx_z21,0.012473216
lag_ret_5,0.011139889
lag_ret_21,0.0035179479
lag_ret_1,0.0035007435
vwap_dist_21,0.002195964
vol_rel_21,0.0
dist_ema_21,0.0
vol_rel_63,0.0
macro_ibov_ret,0.0
macro_usdbrl_ret,0.0
dow_seg,0.0
cs_rank_126,0.0
dow_ter,0.0
dow_qua,0.0
mes_01,0.0
mes_02,0.0
dow_qui,0.0
dow_sex,0.0
mes_04,0.0
mes_03,0.0
mes_05,0.0
mes_06,0.0
mes_08,0.0
mes_07,0.0
mes_11,0.0
mes_12,0.0
