feature,shap_mean_abs
z_alpha_21,0.016107094
macro_usdbrl_ret,0.0155339185
bb_pctb_21,0.013910594
lag_ret_21,0.012240411
mom_63,0.011771512
cs_rank_63,0.011290241
atr_21,0.008690781
trend_mercado_63,0.008182542
dist_ema_21,0.0077207717
force_idx_z21,0.007657413
rsi_21,0.0069864783
macro_ibov_ret,0.0059255594
risco_mercado_21,0.005403404
mom_126,0.0050517707
z_alpha_63,0.0048936093
risco_mercado_63,0.004427041
dist_ema_63,0.004403071
lag_ret_1,0.0037939965
vol_rel_21,0.0034580205
dow_ter,0.003060309
vol_63,0.0029893296
vwap_dist_21,0.0025276903
trend_mercado_21,0.002493847
obv_z21,0.002375274
vol_rel_63,0.0017119522
lag_ret_5,0.0014843578
mom_252,0.0
vol_21,0.0
mom_21,0.0
beta_63,0.0
cs_rank_21,0.0
cs_rank_126,0.0
beta_21,0.0
dow_seg,0.0
dow_qua,0.0
dow_qui,0.0
dow_sex,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
