feature,importance
vol_63,0.12725015
risco_mercado_63,0.12400348
trend_mercado_63,0.112448126
atr_21,0.09638112
trend_mercado_21,0.05155987
mes_01,0.050551638
mom_252,0.040859263
mes_10,0.03963095
risco_mercado_21,0.037216906
cs_rank_63,0.03268625
bb_pctb_21,0.031092107
mes_04,0.030879483
dist_ema_21,0.030437443
obv_z21,0.030387042
vol_21,0.029762628
dist_ema_63,0.02036388
mom_63,0.017549975
mes_06,0.017114485
beta_63,0.014494225
mes_09,0.013727316
rsi_21,0.013665032
mom_126,0.013588688
mom_21,0.0085221175
beta_21,0.008334884
vwap_dist_21,0.005297428
lag_ret_21,0.0013104914
macro_usdbrl_ret,0.00088502304
force_idx_z21,0.0
lag_ret_5,0.0
lag_ret_1,0.0
vol_rel_63,0.0
vol_rel_21,0.0
macro_ibov_ret,0.0
dow_seg,0.0
cs_rank_126,0.0
cs_rank_21,0.0
z_alpha_63,0.0
z_alpha_21,0.0
dow_sex,0.0
dow_ter,0.0
dow_qua,0.0
mes_03,0.0
mes_02,0.0
dow_qui,0.0
mes_05,0.0
mes_08,0.0
mes_07,0.0
mes_11,0.0
mes_12,0.0
