feature,importance
trend_mercado_63,0.04770824
z_alpha_63,0.04275565
cs_rank_21,0.039681166
z_alpha_21,0.037047897
trend_mercado_21,0.03636151
cs_rank_126,0.035584413
mom_252,0.035386905
dow_ter,0.03514185
vol_rel_63,0.03496951
dow_sex,0.03466178
beta_21,0.03453691
mom_126,0.034142643
force_idx_z21,0.033226125
bb_pctb_21,0.033005908
vol_21,0.03233463
vol_rel_21,0.03028732
rsi_21,0.029353926
risco_mercado_63,0.027868185
macro_ibov_ret,0.027842887
lag_ret_5,0.027773973
macro_usdbrl_ret,0.027275652
dow_qui,0.026949205
dow_qua,0.026735472
dist_ema_21,0.025371823
risco_mercado_21,0.025341641
lag_ret_21,0.024090577
atr_21,0.02304375
mom_63,0.02286544
lag_ret_1,0.02241485
cs_rank_63,0.022040233
beta_63,0.020794483
obv_z21,0.020564532
mom_21,0.015674647
vol_63,0.007166276
vwap_dist_21,0.0
dow_seg,0.0
dist_ema_63,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
