feature,shap_mean_abs
lag_ret_5,0.007360333
mom_252,0.0067560263
risco_mercado_63,0.0044492316
dow_ter,0.004354134
beta_21,0.0043383595
dow_sex,0.0035034032
mom_63,0.0034873378
trend_mercado_21,0.0031188221
vol_21,0.002650914
lag_ret_21,0.0021588614
mom_21,0.0021585384
dist_ema_63,0.0020787213
z_alpha_63,0.0019640466
bb_pctb_21,0.0018536848
beta_63,0.0017225482
cs_rank_21,0.0016786729
mom_126,0.001611798
lag_ret_1,0.0016083464
trend_mercado_63,0.0016016399
macro_ibov_ret,0.0014923656
risco_mercado_21,0.0013961116
z_alpha_21,0.0013828513
cs_rank_63,0.0013013039
vol_rel_63,0.0012796335
macro_usdbrl_ret,0.0012269136
atr_21,0.001085955
rsi_21,0.0009736258
mes_08,0.00093067455
obv_z21,0.00087301305
vol_63,0.0008532404
dist_ema_21,0.0007186831
force_idx_z21,0.00070030004
cs_rank_126,0.00063225196
vwap_dist_21,0.0005335478
vol_rel_21,0.00033617378
dow_qui,0.00023870902
dow_seg,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
dow_qua,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
