feature,importance
cs_rank_63,0.07059314
mom_252,0.058845405
bb_pctb_21,0.05198277
z_alpha_21,0.051358297
lag_ret_1,0.048645742
rsi_21,0.04574728
atr_21,0.044020824
beta_63,0.041416544
cs_rank_126,0.039134294
z_alpha_63,0.037594207
risco_mercado_63,0.03314015
force_idx_z21,0.03302988
risco_mercado_21,0.03253326
trend_mercado_63,0.032248005
mom_63,0.03086023
mom_126,0.029989457
macro_ibov_ret,0.028365936
vwap_dist_21,0.027451739
vol_21,0.024994435
dist_ema_63,0.024407983
lag_ret_5,0.024346108
macro_usdbrl_ret,0.02429826
mom_21,0.024183039
vol_rel_21,0.023192711
lag_ret_21,0.022976814
vol_rel_63,0.0219323
vol_63,0.020844277
cs_rank_21,0.017094767
trend_mercado_21,0.016393157
beta_21,0.0112853
dist_ema_21,0.004652285
dow_sex,0.002441431
obv_z21,0.0
dow_seg,0.0
dow_ter,0.0
dow_qua,0.0
dow_qui,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
