feature,shap_mean_abs
vol_rel_21,0.023741867
mom_252,0.012313243
bb_pctb_21,0.0069186953
lag_ret_5,0.006208407
risco_mercado_63,0.0060054804
mom_126,0.005659423
vol_63,0.0054400726
lag_ret_1,0.00533866
risco_mercado_21,0.004523461
beta_63,0.004188767
cs_rank_126,0.004185318
rsi_21,0.0038132728
vol_rel_63,0.0036376463
macro_usdbrl_ret,0.003540137
z_alpha_21,0.0033704445
cs_rank_63,0.0031508189
z_alpha_63,0.0024062514
vwap_dist_21,0.0020283957
dist_ema_21,0.0019329318
mom_63,0.0018444982
vol_21,0.001789105
beta_21,0.0015420478
trend_mercado_63,0.0015229896
cs_rank_21,0.0011883674
obv_z21,0.0011527888
lag_ret_21,0.0010550304
force_idx_z21,0.00097393285
trend_mercado_21,0.00066252187
dist_ema_63,0.00060603477
mes_02,0.0005965183
macro_ibov_ret,0.0005923194
atr_21,0.00045052834
mom_21,0.00019896732
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
dow_sex,0.0
mes_01,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
