feature,importance
mom_252,0.13750717
mes_06,0.11468274
mom_126,0.075394265
risco_mercado_63,0.071731634
mes_10,0.066149965
mes_05,0.054322574
mom_63,0.05340988
trend_mercado_63,0.041308645
dist_ema_63,0.03449272
risco_mercado_21,0.03208165
vol_63,0.02719329
mes_09,0.024422105
cs_rank_126,0.023371574
cs_rank_63,0.023235183
vol_21,0.021771962
dist_ema_21,0.02120015
atr_21,0.020956296
beta_63,0.020827755
mom_21,0.018210568
vwap_dist_21,0.015992852
cs_rank_21,0.014617504
beta_21,0.01348151
bb_pctb_21,0.013353565
obv_z21,0.012942173
rsi_21,0.012789441
trend_mercado_21,0.011606185
lag_ret_21,0.006228736
vol_rel_63,0.0060049524
macro_ibov_ret,0.0035658104
lag_ret_5,0.0029375178
lag_ret_1,0.0017440205
z_alpha_63,0.0015874957
force_idx_z21,0.0008781313
vol_rel_21,0.0
dow_seg,0.0
z_alpha_21,0.0
macro_usdbrl_ret,0.0
dow_ter,0.0
dow_qua,0.0
dow_qui,0.0
dow_sex,0.0
mes_04,0.0
mes_03,0.0
mes_02,0.0
mes_01,0.0
mes_08,0.0
mes_07,0.0
mes_11,0.0
mes_12,0.0
