feature,importance
atr_21,0.0414194
cs_rank_21,0.04097453
risco_mercado_63,0.03877582
vol_rel_63,0.038433816
risco_mercado_21,0.037489302
vol_rel_21,0.03743204
macro_ibov_ret,0.036917593
dow_sex,0.036317293
obv_z21,0.035825595
cs_rank_63,0.03417889
mom_63,0.033872653
mes_07,0.03144816
lag_ret_21,0.030773072
dist_ema_21,0.030520545
vol_21,0.030365875
z_alpha_21,0.029908104
bb_pctb_21,0.029796109
beta_63,0.029171199
macro_usdbrl_ret,0.028975006
lag_ret_5,0.026438111
vol_63,0.025640694
dist_ema_63,0.024953958
dow_seg,0.023888566
mom_21,0.02378534
rsi_21,0.02364498
mom_126,0.022899581
vwap_dist_21,0.022081718
mom_252,0.021971732
trend_mercado_21,0.02138752
z_alpha_63,0.021030983
beta_21,0.020572197
trend_mercado_63,0.01952128
lag_ret_1,0.018695224
cs_rank_126,0.01671671
force_idx_z21,0.014176398
dow_qua,0.0
dow_ter,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
dow_qui,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
