feature,shap_mean_abs
mom_126,0.012812574
obv_z21,0.00713514
cs_rank_63,0.005226132
risco_mercado_21,0.0049493494
dist_ema_63,0.004383426
cs_rank_126,0.0042428127
mom_252,0.0042023063
beta_63,0.0040872665
atr_21,0.0033081507
vol_rel_21,0.002755304
vol_63,0.0023568107
mom_21,0.0018297284
risco_mercado_63,0.0017675924
lag_ret_1,0.00149881
beta_21,0.0014719914
vwap_dist_21,0.0012981188
lag_ret_5,0.0012797124
trend_mercado_63,0.0010747857
z_alpha_21,0.0010010932
mes_01,0.0009217254
mom_63,0.000816245
macro_usdbrl_ret,0.0007117886
lag_ret_21,0.00062978634
force_idx_z21,0.00058645994
cs_rank_21,0.000564086
vol_rel_63,0.0004783032
bb_pctb_21,0.00042318832
dist_ema_21,0.00019940406
vol_21,0.0
rsi_21,0.0
z_alpha_63,0.0
trend_mercado_21,0.0
macro_ibov_ret,0.0
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
dow_sex,0.0
mes_02,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
