feature,shap_mean_abs
mom_126,0.077779055
risco_mercado_63,0.024041934
atr_21,0.023600036
mom_252,0.022947658
risco_mercado_21,0.022319227
cs_rank_63,0.020046245
beta_21,0.01376121
vwap_dist_21,0.01293194
vol_63,0.012096639
obv_z21,0.010000208
beta_63,0.0077361558
vol_21,0.007636764
mom_63,0.0071532186
dist_ema_63,0.0070656124
mes_05,0.0055841464
trend_mercado_63,0.004739155
rsi_21,0.004584837
trend_mercado_21,0.0035347866
mom_21,0.0033851867
mes_01,0.0023817066
cs_rank_21,0.002251046
mes_12,0.0012228077
bb_pctb_21,0.0009390193
cs_rank_126,0.0009312281
lag_ret_1,0.0
dist_ema_21,0.0
force_idx_z21,0.0
vol_rel_21,0.0
vol_rel_63,0.0
lag_ret_5,0.0
lag_ret_21,0.0
z_alpha_63,0.0
macro_ibov_ret,0.0
dow_seg,0.0
macro_usdbrl_ret,0.0
z_alpha_21,0.0
dow_ter,0.0
dow_sex,0.0
mes_02,0.0
dow_qui,0.0
dow_qua,0.0
mes_04,0.0
mes_03,0.0
mes_07,0.0
mes_06,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
