feature,importance
vol_63,0.07301287
cs_rank_126,0.04755274
risco_mercado_63,0.047244802
mom_252,0.04232637
atr_21,0.042266686
risco_mercado_21,0.04099163
beta_63,0.039856795
vol_21,0.038512766
trend_mercado_63,0.038172405
beta_21,0.037538353
mes_09,0.036971323
mes_11,0.03541819
mom_126,0.034760587
mom_63,0.03424859
mom_21,0.03299976
vol_rel_21,0.03256331
rsi_21,0.030597696
mes_04,0.030190093
macro_ibov_ret,0.024357222
macro_usdbrl_ret,0.024120444
trend_mercado_21,0.024118256
z_alpha_63,0.022404913
dist_ema_63,0.021809656
dist_ema_21,0.020540725
vwap_dist_21,0.018943341
vol_rel_63,0.018826291
bb_pctb_21,0.01658598
dow_ter,0.014374897
lag_ret_1,0.013801573
cs_rank_21,0.013718189
force_idx_z21,0.013156913
obv_z21,0.012696649
lag_ret_5,0.008650731
z_alpha_21,0.007577902
dow_qua,0.005644828
lag_ret_21,0.0031736803
cs_rank_63,0.0002728659
dow_seg,0.0
mes_01,0.0
dow_sex,0.0
dow_qui,0.0
mes_03,0.0
mes_02,0.0
mes_05,0.0
mes_06,0.0
mes_08,0.0
mes_07,0.0
mes_10,0.0
mes_12,0.0
