feature,shap_mean_abs
mom_126,0.04211853
vol_21,0.031786434
beta_21,0.02917371
risco_mercado_63,0.02521984
cs_rank_126,0.024403777
mom_252,0.022487437
beta_63,0.019670863
trend_mercado_63,0.017944487
risco_mercado_21,0.013888091
trend_mercado_21,0.013293587
atr_21,0.01273874
vol_63,0.01226363
rsi_21,0.012191309
dist_ema_63,0.009985022
vwap_dist_21,0.008585392
mom_63,0.008163619
force_idx_z21,0.0068264897
vol_rel_63,0.00619499
macro_ibov_ret,0.005954442
dist_ema_21,0.0057112016
lag_ret_1,0.0056334552
lag_ret_21,0.005418353
vol_rel_21,0.0052463906
mes_08,0.0046484214
mom_21,0.0044764355
z_alpha_21,0.0040753335
cs_rank_63,0.0039889156
obv_z21,0.0038660665
lag_ret_5,0.003810031
z_alpha_63,0.0036727802
macro_usdbrl_ret,0.0025098587
cs_rank_21,0.0
bb_pctb_21,0.0
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
dow_sex,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
