feature,shap_mean_abs
vol_63,0.15237093
mom_126,0.13895804
beta_63,0.13881338
risco_mercado_63,0.07758981
mom_252,0.053822152
obv_z21,0.053504586
vol_21,0.039469473
mom_63,0.03010378
atr_21,0.029049505
cs_rank_21,0.02120755
mom_21,0.020866549
trend_mercado_63,0.019765694
trend_mercado_21,0.016469762
cs_rank_63,0.015875265
mes_05,0.013771819
vol_rel_21,0.012425553
z_alpha_21,0.011419968
dist_ema_63,0.008949783
cs_rank_126,0.0078876065
z_alpha_63,0.0078061684
vwap_dist_21,0.006529022
macro_ibov_ret,0.0059922547
mes_08,0.005975305
mes_09,0.00508089
vol_rel_63,0.004878669
risco_mercado_21,0.0048158374
dist_ema_21,0.004594814
lag_ret_1,0.0045744395
rsi_21,0.004443392
force_idx_z21,0.004394262
bb_pctb_21,0.004336345
lag_ret_5,0.0039169937
lag_ret_21,0.0034890822
mes_04,0.0030376574
beta_21,0.0027638944
macro_usdbrl_ret,0.0023715883
dow_seg,0.0
dow_sex,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
mes_03,0.0
mes_02,0.0
mes_01,0.0
mes_06,0.0
mes_07,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
