feature,importance
cs_rank_126,0.04368594
z_alpha_21,0.03802142
dist_ema_21,0.036683768
macro_usdbrl_ret,0.036579315
beta_63,0.035304677
mes_05,0.03467634
dist_ema_63,0.034337074
force_idx_z21,0.033764157
mes_03,0.033679027
lag_ret_1,0.033058804
vol_rel_21,0.031868923
beta_21,0.031793617
risco_mercado_63,0.03177707
vol_21,0.03136906
rsi_21,0.031057183
vol_rel_63,0.03025033
mom_126,0.029930491
vol_63,0.029887078
mom_63,0.028484678
cs_rank_63,0.028425498
atr_21,0.028301915
z_alpha_63,0.027625749
trend_mercado_63,0.027113758
risco_mercado_21,0.026793897
lag_ret_5,0.02667409
vwap_dist_21,0.026556509
trend_mercado_21,0.026016282
lag_ret_21,0.022663308
bb_pctb_21,0.021711038
mom_252,0.021589419
dow_sex,0.021512743
obv_z21,0.019824827
macro_ibov_ret,0.017835973
mom_21,0.01748732
dow_ter,0.0036587575
dow_seg,0.0
cs_rank_21,0.0
dow_qui,0.0
mes_01,0.0
mes_02,0.0
dow_qua,0.0
mes_04,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
