feature,shap_mean_abs
mom_126,0.15645994
vol_63,0.15562485
risco_mercado_63,0.11645415
beta_63,0.08262575
mom_252,0.040221535
mom_63,0.039471164
risco_mercado_21,0.036268402
mom_21,0.023322126
cs_rank_21,0.02182126
atr_21,0.02077562
dist_ema_63,0.019978931
vol_21,0.019039687
cs_rank_126,0.016874418
mes_09,0.013661796
cs_rank_63,0.008711717
trend_mercado_63,0.008585321
beta_21,0.008052532
vwap_dist_21,0.006753606
bb_pctb_21,0.005757572
dist_ema_21,0.005626711
trend_mercado_21,0.0019478576
z_alpha_63,0.0017644772
macro_usdbrl_ret,0.0012222787
lag_ret_5,0.0
lag_ret_1,0.0
rsi_21,0.0
force_idx_z21,0.0
vol_rel_63,0.0
obv_z21,0.0
vol_rel_21,0.0
lag_ret_21,0.0
z_alpha_21,0.0
macro_ibov_ret,0.0
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
dow_sex,0.0
mes_04,0.0
mes_05,0.0
mes_07,0.0
mes_06,0.0
mes_08,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
