feature,importance
rsi_21,0.06708623
mes_05,0.057790674
vol_rel_63,0.05016367
vol_63,0.048343442
mom_63,0.047413055
mes_09,0.046071865
risco_mercado_63,0.044222776
mes_01,0.04351895
atr_21,0.043453794
dist_ema_63,0.04285246
vol_21,0.04130885
trend_mercado_21,0.032267652
obv_z21,0.031745777
macro_ibov_ret,0.02881884
vwap_dist_21,0.027358782
mom_126,0.027091991
beta_63,0.026928402
beta_21,0.025638685
risco_mercado_21,0.025616998
mom_252,0.02402386
lag_ret_21,0.023367666
trend_mercado_63,0.022212207
cs_rank_21,0.020421755
cs_rank_126,0.01980844
mom_21,0.018372994
dist_ema_21,0.018358795
mes_11,0.017635139
mes_10,0.015536343
cs_rank_63,0.0137665225
force_idx_z21,0.013680419
z_alpha_21,0.010305798
mes_12,0.00956734
bb_pctb_21,0.008868319
z_alpha_63,0.006381473
vol_rel_21,0.0
lag_ret_1,0.0
lag_ret_5,0.0
dow_seg,0.0
macro_usdbrl_ret,0.0
dow_qui,0.0
dow_ter,0.0
mes_04,0.0
mes_03,0.0
mes_02,0.0
dow_sex,0.0
dow_qua,0.0
mes_08,0.0
mes_06,0.0
mes_07,0.0
