feature,shap_mean_abs
vol_63,0.013903505
mom_126,0.012491506
atr_21,0.00803919
risco_mercado_63,0.007896386
rsi_21,0.0060019474
trend_mercado_21,0.0059249806
mom_252,0.0056394152
mom_21,0.0050936015
bb_pctb_21,0.0049524386
dist_ema_63,0.004454855
beta_63,0.0033746148
mom_63,0.003349424
lag_ret_21,0.003244664
vwap_dist_21,0.0031510482
vol_21,0.0028219165
risco_mercado_21,0.0026389663
beta_21,0.0024999583
obv_z21,0.0021434033
cs_rank_63,0.002018451
mes_09,0.0018563411
cs_rank_126,0.0013051631
macro_usdbrl_ret,0.0010427367
mes_01,0.0010221062
vol_rel_63,0.0007377487
lag_ret_1,0.0005706986
force_idx_z21,0.0004933449
mes_12,0.0003370999
lag_ret_5,0.00029351315
dist_ema_21,0.00015044252
vol_rel_21,0.0
z_alpha_63,0.0
macro_ibov_ret,0.0
z_alpha_21,0.0
dow_seg,0.0
cs_rank_21,0.0
trend_mercado_63,0.0
dow_ter,0.0
dow_sex,0.0
mes_02,0.0
dow_qui,0.0
dow_qua,0.0
mes_04,0.0
mes_03,0.0
mes_05,0.0
mes_06,0.0
mes_08,0.0
mes_07,0.0
mes_10,0.0
mes_11,0.0
