feature,importance
atr_21,0.11252714
cs_rank_126,0.07355555
mom_63,0.07078708
risco_mercado_21,0.0632455
mes_09,0.062909804
dist_ema_63,0.050981417
mes_05,0.047965784
risco_mercado_63,0.04628259
mom_126,0.04402029
vol_21,0.043266274
mes_10,0.038763862
vol_63,0.037908826
beta_21,0.036047462
rsi_21,0.031757705
trend_mercado_63,0.031406797
mom_252,0.030007176
vwap_dist_21,0.026753217
mom_21,0.02448922
beta_63,0.021646786
trend_mercado_21,0.019429877
obv_z21,0.01816105
mes_11,0.016554995
dist_ema_21,0.013671321
cs_rank_63,0.011903826
vol_rel_21,0.010185794
mes_12,0.009986583
vol_rel_63,0.003937249
lag_ret_1,0.0011006187
dow_sex,0.0007462612
force_idx_z21,0.0
lag_ret_21,0.0
lag_ret_5,0.0
z_alpha_21,0.0
dow_seg,0.0
cs_rank_21,0.0
macro_usdbrl_ret,0.0
z_alpha_63,0.0
macro_ibov_ret,0.0
bb_pctb_21,0.0
dow_qua,0.0
dow_ter,0.0
mes_04,0.0
mes_03,0.0
mes_02,0.0
mes_01,0.0
dow_qui,0.0
mes_08,0.0
mes_06,0.0
mes_07,0.0
