feature,importance
mes_02,0.18263435
dist_ema_63,0.07590479
mom_63,0.071923085
mom_252,0.05683616
mes_07,0.056008402
risco_mercado_63,0.044590577
mes_05,0.042985354
mom_126,0.040488347
trend_mercado_63,0.037425477
atr_21,0.036700796
vwap_dist_21,0.03510861
mes_09,0.03287659
bb_pctb_21,0.032590367
beta_21,0.03185758
vol_63,0.031291317
risco_mercado_21,0.028538786
dist_ema_21,0.027605813
rsi_21,0.026395213
cs_rank_63,0.024394229
cs_rank_21,0.018167648
mes_04,0.016455889
obv_z21,0.015851416
beta_63,0.010237842
mom_21,0.006287989
mes_01,0.0047222227
trend_mercado_21,0.0028663888
vol_21,0.002763816
lag_ret_21,0.0022957104
macro_usdbrl_ret,0.0016785673
mes_11,0.0016241587
cs_rank_126,0.0008925112
lag_ret_1,0.0
lag_ret_5,0.0
force_idx_z21,0.0
vol_rel_63,0.0
vol_rel_21,0.0
z_alpha_63,0.0
dow_seg,0.0
macro_ibov_ret,0.0
z_alpha_21,0.0
dow_ter,0.0
mes_03,0.0
dow_qua,0.0
dow_qui,0.0
dow_sex,0.0
mes_08,0.0
mes_06,0.0
mes_10,0.0
mes_12,0.0
