feature,shap_mean_abs
mom_63,0.009314162
mes_02,0.0085185785
beta_21,0.007904112
vwap_dist_21,0.0033259494
cs_rank_63,0.0029479805
mom_252,0.0027210137
dist_ema_63,0.002200742
vol_63,0.0018991886
risco_mercado_63,0.0018267467
cs_rank_126,0.0012934691
vol_rel_21,0.0006777443
vol_21,0.0
mom_126,0.0
lag_ret_1,0.0
lag_ret_21,0.0
mom_21,0.0
lag_ret_5,0.0
dist_ema_21,0.0
rsi_21,0.0
force_idx_z21,0.0
obv_z21,0.0
atr_21,0.0
vol_rel_63,0.0
bb_pctb_21,0.0
beta_63,0.0
risco_mercado_21,0.0
z_alpha_63,0.0
z_alpha_21,0.0
trend_mercado_21,0.0
macro_usdbrl_ret,0.0
trend_mercado_63,0.0
cs_rank_21,0.0
macro_ibov_ret,0.0
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
dow_sex,0.0
mes_01,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
