feature,shap_mean_abs
vol_63,0.009991418
mom_126,0.0044140466
rsi_21,0.0026394844
trend_mercado_21,0.0025083232
atr_21,0.0024634765
mom_252,0.0023016345
risco_mercado_63,0.002143307
mom_21,0.0018396106
mom_63,0.0014951981
vol_21,0.001430235
beta_63,0.0012826144
trend_mercado_63,0.0008638228
cs_rank_21,0.0007935366
beta_21,0.00074345025
vol_rel_63,0.00058003614
obv_z21,0.00048794033
cs_rank_63,0.00045740497
dist_ema_21,0.0
vwap_dist_21,0.0
force_idx_z21,0.0
vol_rel_21,0.0
lag_ret_5,0.0
lag_ret_21,0.0
lag_ret_1,0.0
bb_pctb_21,0.0
risco_mercado_21,0.0
z_alpha_63,0.0
z_alpha_21,0.0
macro_ibov_ret,0.0
dist_ema_63,0.0
macro_usdbrl_ret,0.0
cs_rank_126,0.0
dow_seg,0.0
dow_ter,0.0
dow_qua,0.0
dow_qui,0.0
dow_sex,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
mes_04,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
