feature,importance
mes_02,0.15470828
atr_21,0.07575033
mes_05,0.062095363
vwap_dist_21,0.060752887
risco_mercado_63,0.055145193
rsi_21,0.04903035
mom_126,0.045027144
risco_mercado_21,0.044621464
mom_252,0.04411029
dist_ema_63,0.043831505
vol_63,0.04260525
cs_rank_126,0.041055758
trend_mercado_63,0.040606756
mes_10,0.03551858
cs_rank_21,0.035365254
mes_09,0.033019066
mes_07,0.025689503
mom_63,0.021869907
beta_21,0.020652052
obv_z21,0.013919065
cs_rank_63,0.0119552445
trend_mercado_21,0.0102652805
beta_63,0.006924208
vol_21,0.006719587
mom_21,0.005273563
bb_pctb_21,0.004742889
macro_ibov_ret,0.0019289375
dist_ema_21,0.0019187203
lag_ret_21,0.0016604466
macro_usdbrl_ret,0.0011259055
vol_rel_63,0.0010117386
z_alpha_21,0.00075921236
force_idx_z21,0.00034026196
vol_rel_21,0.0
lag_ret_5,0.0
lag_ret_1,0.0
z_alpha_63,0.0
dow_seg,0.0
dow_ter,0.0
dow_qui,0.0
dow_qua,0.0
mes_04,0.0
mes_03,0.0
mes_01,0.0
dow_sex,0.0
mes_08,0.0
mes_06,0.0
mes_11,0.0
mes_12,0.0
