feature,importance
mes_06,0.07920291
mom_63,0.045203157
mes_10,0.044726674
beta_21,0.042169232
mom_126,0.03774657
mes_02,0.03715392
risco_mercado_63,0.03588758
dist_ema_63,0.03543814
cs_rank_126,0.033605546
trend_mercado_63,0.033158425
mes_07,0.032775678
mom_252,0.0319101
beta_63,0.030275688
cs_rank_21,0.027762879
mes_01,0.02772197
vol_63,0.024605183
risco_mercado_21,0.0245315
trend_mercado_21,0.024161533
mes_03,0.023343658
mes_08,0.02313173
cs_rank_63,0.021969303
mes_12,0.021690773
vol_21,0.021669557
vwap_dist_21,0.02124611
rsi_21,0.019526735
mes_05,0.018365394
vol_rel_21,0.018121975
mom_21,0.016756501
dist_ema_21,0.016461575
force_idx_z21,0.01635924
mes_09,0.015551241
obv_z21,0.015131636
vol_rel_63,0.01486132
bb_pctb_21,0.014816946
atr_21,0.014050227
mes_04,0.009359887
macro_usdbrl_ret,0.007844443
macro_ibov_ret,0.005662532
lag_ret_1,0.00531572
lag_ret_21,0.0044918912
z_alpha_21,0.0033472206
lag_ret_5,0.0028876895
z_alpha_63,0.0
dow_seg,0.0
dow_sex,0.0
dow_ter,0.0
dow_qua,0.0
dow_qui,0.0
mes_11,0.0
