feature,shap_mean_abs
mom_63,0.037367553
atr_21,0.030142095
cs_rank_126,0.020242846
trend_mercado_63,0.016390618
cs_rank_63,0.01561024
beta_63,0.014220255
mom_252,0.012843209
dist_ema_63,0.012246783
risco_mercado_63,0.009750654
cs_rank_21,0.00934601
obv_z21,0.009097057
mom_126,0.008274871
trend_mercado_21,0.008164383
rsi_21,0.0076677874
vol_63,0.0066014742
mom_21,0.005751248
lag_ret_1,0.0056704474
risco_mercado_21,0.0049730353
beta_21,0.0044318
vol_21,0.004296277
z_alpha_63,0.0042700907
lag_ret_21,0.0036741968
bb_pctb_21,0.0031407997
mes_10,0.0021120496
vwap_dist_21,0.0020891326
macro_usdbrl_ret,0.0018062139
mes_06,0.0017612855
dist_ema_21,0.0
vol_rel_63,0.0
lag_ret_5,0.0
force_idx_z21,0.0
vol_rel_21,0.0
macro_ibov_ret,0.0
dow_seg,0.0
z_alpha_21,0.0
dow_ter,0.0
dow_qua,0.0
mes_01,0.0
mes_02,0.0
dow_qui,0.0
dow_sex,0.0
mes_04,0.0
mes_03,0.0
mes_07,0.0
mes_05,0.0
mes_08,0.0
mes_09,0.0
mes_11,0.0
mes_12,0.0
