feature,importance
mom_126,0.07977538
mom_63,0.07293252
risco_mercado_63,0.065738805
mes_02,0.063369
cs_rank_126,0.059097808
beta_21,0.043645486
vol_63,0.038301032
mes_03,0.035888437
mes_06,0.03502008
trend_mercado_21,0.034829263
trend_mercado_63,0.03458023
dist_ema_63,0.03114475
mes_10,0.030756636
risco_mercado_21,0.029489584
rsi_21,0.029070226
mom_252,0.02845123
mes_09,0.028025365
mes_01,0.025932478
beta_63,0.022976927
mes_08,0.021823289
cs_rank_63,0.019615019
mes_05,0.019052438
mom_21,0.018575367
dist_ema_21,0.01767679
atr_21,0.016823981
vol_21,0.016488938
vwap_dist_21,0.015155169
bb_pctb_21,0.012554426
cs_rank_21,0.011909018
obv_z21,0.008597976
macro_usdbrl_ret,0.0061758095
z_alpha_63,0.0056033633
force_idx_z21,0.0053960662
vol_rel_63,0.00537111
lag_ret_5,0.0035346027
vol_rel_21,0.0034432155
macro_ibov_ret,0.0024097548
dow_seg,0.0007684338
lag_ret_1,0.0
lag_ret_21,0.0
z_alpha_21,0.0
mes_04,0.0
dow_qua,0.0
dow_qui,0.0
dow_sex,0.0
dow_ter,0.0
mes_07,0.0
mes_11,0.0
mes_12,0.0
