feature,shap_mean_abs
mom_63,0.082735665
risco_mercado_63,0.0714554
mom_126,0.05435186
cs_rank_126,0.04183318
trend_mercado_63,0.031860128
dist_ema_63,0.03015351
mom_252,0.026404498
beta_21,0.02458175
trend_mercado_21,0.022684475
risco_mercado_21,0.021214053
vol_63,0.01498168
mes_02,0.010515266
beta_63,0.008781047
vol_21,0.008185796
atr_21,0.008070699
cs_rank_63,0.005681373
vwap_dist_21,0.0050291005
mes_09,0.004748192
mom_21,0.004488759
mes_03,0.0030778192
rsi_21,0.003045315
bb_pctb_21,0.0025846425
mes_08,0.0017342842
mes_10,0.0011058701
obv_z21,0.0010755797
dist_ema_21,0.0007874838
cs_rank_21,0.0006163731
mes_01,0.0005344038
mes_06,0.00046238958
mes_05,0.0002745113
vol_rel_21,0.00027226898
mes_07,0.0002176814
z_alpha_21,0.00015250246
lag_ret_5,0.00014498756
z_alpha_63,0.00012254133
vol_rel_63,8.72769e-05
lag_ret_21,5.8256e-05
force_idx_z21,2.2974229e-05
lag_ret_1,0.0
macro_ibov_ret,0.0
macro_usdbrl_ret,0.0
dow_seg,0.0
mes_04,0.0
dow_qui,0.0
dow_sex,0.0
dow_ter,0.0
dow_qua,0.0
mes_11,0.0
mes_12,0.0
