feature,importance
mom_126,0.11629115
trend_mercado_63,0.1055629
cs_rank_21,0.09404376
mes_07,0.089656904
dist_ema_63,0.07073505
risco_mercado_63,0.068560496
risco_mercado_21,0.047668453
vol_63,0.04497052
mes_04,0.042530753
mom_63,0.039433826
mom_252,0.032968607
vol_21,0.03170601
cs_rank_126,0.03078865
dist_ema_21,0.025624601
bb_pctb_21,0.024010006
beta_63,0.022211967
vwap_dist_21,0.022056086
rsi_21,0.016960932
mom_21,0.015578444
cs_rank_63,0.01475923
beta_21,0.0135868015
obv_z21,0.009364046
atr_21,0.008137691
trend_mercado_21,0.004330564
macro_ibov_ret,0.0033873762
lag_ret_5,0.0029409593
macro_usdbrl_ret,0.0010785379
lag_ret_1,0.0010556255
lag_ret_21,0.0
force_idx_z21,0.0
vol_rel_63,0.0
vol_rel_21,0.0
z_alpha_21,0.0
dow_seg,0.0
z_alpha_63,0.0
dow_qui,0.0
dow_ter,0.0
dow_sex,0.0
mes_01,0.0
mes_02,0.0
dow_qua,0.0
mes_03,0.0
mes_05,0.0
mes_06,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
