feature,importance
mes_07,0.05533323
cs_rank_63,0.05406839
risco_mercado_63,0.05257622
beta_21,0.050015025
mom_63,0.046062242
mes_09,0.0458045
cs_rank_126,0.043964766
dist_ema_63,0.042339895
trend_mercado_63,0.041591104
beta_63,0.037446205
rsi_21,0.0369321
z_alpha_63,0.035669975
mom_126,0.034369703
mom_21,0.034347825
vol_21,0.033983547
risco_mercado_21,0.030690292
atr_21,0.030503435
mom_252,0.029505618
trend_mercado_21,0.029149702
vwap_dist_21,0.02837289
obv_z21,0.025884554
vol_63,0.022577254
mes_10,0.019216016
dist_ema_21,0.018664788
macro_ibov_ret,0.01770386
vol_rel_63,0.016328918
cs_rank_21,0.016300926
bb_pctb_21,0.015587935
lag_ret_1,0.01401505
vol_rel_21,0.012156974
macro_usdbrl_ret,0.0068803583
dow_qua,0.0052361116
lag_ret_21,0.0048423167
force_idx_z21,0.0047141793
lag_ret_5,0.0036558479
z_alpha_21,0.003508286
dow_seg,0.0
mes_01,0.0
dow_ter,0.0
dow_qui,0.0
dow_sex,0.0
mes_04,0.0
mes_03,0.0
mes_02,0.0
mes_05,0.0
mes_08,0.0
mes_06,0.0
mes_11,0.0
mes_12,0.0
