feature,shap_mean_abs
mom_63,0.0119742
risco_mercado_63,0.00806285
beta_21,0.0067021227
mom_126,0.0062938863
cs_rank_63,0.006014345
trend_mercado_63,0.0043666097
cs_rank_126,0.003315569
rsi_21,0.0032771183
obv_z21,0.0027432947
risco_mercado_21,0.0017589392
macro_ibov_ret,0.0017398346
trend_mercado_21,0.001699477
mom_252,0.0016945426
beta_63,0.0015384258
vol_63,0.0014934816
vol_rel_21,0.0014924183
bb_pctb_21,0.001383496
vwap_dist_21,0.0013822506
vol_21,0.0011481055
dist_ema_21,0.0010604056
mes_09,0.0009825339
atr_21,0.0009425256
mom_21,0.000894135
dist_ema_63,0.00075598457
force_idx_z21,0.00051516126
vol_rel_63,0.00047232356
lag_ret_5,0.00043561996
cs_rank_21,0.00037343815
lag_ret_1,0.00036878267
lag_ret_21,0.00020257519
mes_11,0.00019568147
macro_usdbrl_ret,0.00012645335
z_alpha_63,0.00012357824
dow_seg,0.0
z_alpha_21,0.0
dow_ter,0.0
dow_qua,0.0
mes_01,0.0
mes_02,0.0
dow_qui,0.0
dow_sex,0.0
mes_04,0.0
mes_03,0.0
mes_05,0.0
mes_06,0.0
mes_08,0.0
mes_07,0.0
mes_10,0.0
mes_12,0.0
