feature,importance
mes_06,0.12816386
beta_21,0.10246135
risco_mercado_63,0.07268951
trend_mercado_63,0.06227004
mes_08,0.060034003
mes_07,0.056132227
beta_63,0.03934504
mes_09,0.0391411
mom_126,0.038903583
risco_mercado_21,0.03190227
mom_63,0.03171958
vol_63,0.028648881
cs_rank_63,0.028376693
mes_10,0.027948378
cs_rank_126,0.027196463
dist_ema_63,0.026611429
atr_21,0.026033117
vol_21,0.024783777
trend_mercado_21,0.022458158
bb_pctb_21,0.02136551
mom_21,0.019841446
rsi_21,0.0197993
mom_252,0.019356333
mes_11,0.016612662
dist_ema_21,0.01083856
vwap_dist_21,0.005929667
obv_z21,0.0054626525
force_idx_z21,0.0037751163
macro_ibov_ret,0.002025101
z_alpha_21,0.00017422198
lag_ret_1,0.0
lag_ret_5,0.0
lag_ret_21,0.0
vol_rel_21,0.0
vol_rel_63,0.0
macro_usdbrl_ret,0.0
z_alpha_63,0.0
dow_seg,0.0
cs_rank_21,0.0
dow_ter,0.0
dow_qua,0.0
mes_04,0.0
mes_03,0.0
mes_02,0.0
mes_01,0.0
dow_sex,0.0
dow_qui,0.0
mes_05,0.0
mes_12,0.0
