feature,importance
mom_252,0.09612506
mes_10,0.078997724
obv_z21,0.05223697
mom_63,0.05012743
mes_04,0.04456522
mes_11,0.044458177
vol_63,0.042403847
trend_mercado_63,0.042114
mom_126,0.03964382
risco_mercado_63,0.038100515
mes_07,0.035998873
mes_05,0.034301277
mes_06,0.030952163
trend_mercado_21,0.027600665
mes_02,0.0266804
risco_mercado_21,0.024447849
mom_21,0.023931947
atr_21,0.0234419
beta_63,0.022873975
cs_rank_126,0.02146804
vwap_dist_21,0.020740822
mes_03,0.018212365
beta_21,0.018008335
cs_rank_63,0.017906433
vol_21,0.0158241
vol_rel_63,0.015676968
cs_rank_21,0.015674386
dist_ema_63,0.0127912825
mes_08,0.012731873
bb_pctb_21,0.010828507
vol_rel_21,0.009491199
rsi_21,0.008943852
macro_usdbrl_ret,0.008455307
dist_ema_21,0.008328149
force_idx_z21,0.0036917063
lag_ret_21,0.0017492421
z_alpha_21,0.00047571157
lag_ret_5,0.0
lag_ret_1,0.0
macro_ibov_ret,0.0
z_alpha_63,0.0
dow_seg,0.0
mes_01,0.0
dow_qui,0.0
dow_sex,0.0
dow_ter,0.0
dow_qua,0.0
mes_09,0.0
mes_12,0.0
