feature,shap_mean_abs
mom_252,0.09262049
mom_63,0.039604675
mom_126,0.038398154
vol_63,0.028477998
obv_z21,0.025343211
atr_21,0.025217276
mes_10,0.022889543
mes_04,0.015431557
risco_mercado_63,0.014937234
trend_mercado_63,0.014370973
cs_rank_63,0.012049692
beta_63,0.011772844
trend_mercado_21,0.010151691
vol_21,0.009863041
vwap_dist_21,0.007137714
risco_mercado_21,0.0064486056
mom_21,0.0058112396
beta_21,0.005610292
mes_07,0.0052451706
cs_rank_126,0.0050258324
mes_11,0.0038779706
rsi_21,0.0038429922
mes_06,0.0033357756
dist_ema_63,0.003267775
cs_rank_21,0.0032600618
vol_rel_21,0.0026276382
mes_02,0.0023510635
dist_ema_21,0.0020900106
bb_pctb_21,0.0017265637
mes_05,0.0012507518
force_idx_z21,0.00065114454
lag_ret_21,0.0006003608
mes_01,0.0005806934
mes_03,0.00035575707
vol_rel_63,0.0002689109
macro_usdbrl_ret,0.00017657997
lag_ret_1,0.0
lag_ret_5,0.0
macro_ibov_ret,0.0
z_alpha_21,0.0
z_alpha_63,0.0
dow_seg,0.0
dow_qua,0.0
dow_qui,0.0
dow_sex,0.0
dow_ter,0.0
mes_08,0.0
mes_09,0.0
mes_12,0.0
