feature,importance
cs_rank_63,0.045448758
vol_rel_63,0.039778758
z_alpha_63,0.037907444
dow_ter,0.037126098
beta_21,0.033089567
z_alpha_21,0.032321393
risco_mercado_63,0.03226871
vol_63,0.032161556
mom_126,0.03200358
vol_21,0.031952523
bb_pctb_21,0.029746585
vol_rel_21,0.0289621
mes_06,0.028946642
risco_mercado_21,0.028660282
rsi_21,0.028298387
macro_ibov_ret,0.027970968
force_idx_z21,0.027715731
cs_rank_21,0.026488591
vwap_dist_21,0.02626914
macro_usdbrl_ret,0.026223049
lag_ret_1,0.026171034
mom_252,0.024901608
lag_ret_21,0.024174497
obv_z21,0.02396554
beta_63,0.023951823
dow_sex,0.023771558
mom_21,0.023511456
atr_21,0.023442281
lag_ret_5,0.022962123
mom_63,0.022005426
mes_04,0.02183639
trend_mercado_21,0.020972868
dist_ema_63,0.019733893
mes_09,0.018330097
dist_ema_21,0.016836217
trend_mercado_63,0.016808713
cs_rank_126,0.013284623
dow_seg,0.0
mes_01,0.0
dow_qui,0.0
dow_qua,0.0
mes_03,0.0
mes_02,0.0
mes_07,0.0
mes_05,0.0
mes_08,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
