feature,shap_mean_abs
vol_63,0.08179122
mom_252,0.040609147
mom_126,0.028634958
atr_21,0.022221789
risco_mercado_63,0.021039821
vol_21,0.02048387
cs_rank_21,0.009059401
cs_rank_126,0.008480801
cs_rank_63,0.0072057503
vwap_dist_21,0.0053477027
rsi_21,0.0043918057
trend_mercado_63,0.0040390156
mom_63,0.0034890384
trend_mercado_21,0.0024460913
beta_21,0.0022119435
dist_ema_63,0.0019472827
mes_03,0.0018257772
mes_06,0.0017770184
mom_21,0.0013299248
lag_ret_1,0.0010391225
obv_z21,0.0008796186
beta_63,0.00054472
lag_ret_21,0.0
lag_ret_5,0.0
vol_rel_63,0.0
dist_ema_21,0.0
force_idx_z21,0.0
vol_rel_21,0.0
risco_mercado_21,0.0
bb_pctb_21,0.0
z_alpha_63,0.0
z_alpha_21,0.0
macro_ibov_ret,0.0
dow_seg,0.0
macro_usdbrl_ret,0.0
dow_qui,0.0
dow_ter,0.0
dow_sex,0.0
mes_01,0.0
mes_02,0.0
dow_qua,0.0
mes_04,0.0
mes_05,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
