feature,shap_mean_abs
mom_63,0.0058764378
mom_126,0.005558071
trend_mercado_63,0.0046908157
vol_63,0.003758641
beta_21,0.0030372904
atr_21,0.0030324187
vol_21,0.0018754711
force_idx_z21,0.001634637
obv_z21,0.0014679217
mom_252,0.00135176
risco_mercado_21,0.0013176289
trend_mercado_21,0.0012001044
mes_05,0.0011741276
risco_mercado_63,0.0011720951
bb_pctb_21,0.001162205
macro_ibov_ret,0.0011293936
dow_ter,0.0010676079
rsi_21,0.001026627
macro_usdbrl_ret,0.00094711455
lag_ret_5,0.00076855934
z_alpha_63,0.00076616765
z_alpha_21,0.00042003908
mom_21,0.0
lag_ret_1,0.0
lag_ret_21,0.0
dist_ema_21,0.0
vwap_dist_21,0.0
vol_rel_21,0.0
vol_rel_63,0.0
cs_rank_21,0.0
cs_rank_63,0.0
beta_63,0.0
dist_ema_63,0.0
dow_seg,0.0
cs_rank_126,0.0
dow_qui,0.0
dow_qua,0.0
mes_01,0.0
mes_02,0.0
mes_03,0.0
dow_sex,0.0
mes_04,0.0
mes_06,0.0
mes_07,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
