feature,importance
mom_63,0.08242989
vol_21,0.0777135
vwap_dist_21,0.07752115
cs_rank_21,0.058703598
atr_21,0.05690187
vol_63,0.050946068
mom_252,0.046985023
cs_rank_126,0.042835288
mes_04,0.040773794
obv_z21,0.040308855
beta_21,0.039543517
beta_63,0.03647858
trend_mercado_63,0.03556719
mom_21,0.035052508
mes_07,0.034468394
dist_ema_21,0.034330774
mom_126,0.03074162
risco_mercado_63,0.02667404
mes_08,0.023079924
macro_usdbrl_ret,0.022163577
rsi_21,0.020538742
trend_mercado_21,0.019890934
cs_rank_63,0.01581815
dist_ema_63,0.012550676
macro_ibov_ret,0.012024974
lag_ret_21,0.010371575
bb_pctb_21,0.0064871334
vol_rel_63,0.0055453307
lag_ret_5,0.0030399933
vol_rel_21,0.0005133137
lag_ret_1,0.0
force_idx_z21,0.0
risco_mercado_21,0.0
dow_seg,0.0
z_alpha_21,0.0
z_alpha_63,0.0
dow_ter,0.0
dow_sex,0.0
mes_01,0.0
dow_qui,0.0
dow_qua,0.0
mes_03,0.0
mes_02,0.0
mes_06,0.0
mes_05,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
