feature,importance
mom_252,0.15667073
cs_rank_63,0.09083833
mom_63,0.06133216
mes_02,0.059482854
mom_126,0.05011506
trend_mercado_21,0.046192225
mes_04,0.045448247
atr_21,0.041931793
vol_63,0.04106974
mes_08,0.03285755
trend_mercado_63,0.032782912
mom_21,0.03151397
cs_rank_21,0.03057412
cs_rank_126,0.029235981
vol_21,0.029208856
risco_mercado_63,0.028978186
beta_21,0.027592711
risco_mercado_21,0.025850996
mes_03,0.022123244
obv_z21,0.021546237
vwap_dist_21,0.019408053
beta_63,0.018636022
bb_pctb_21,0.017446235
dist_ema_63,0.016536888
rsi_21,0.015286043
dist_ema_21,0.0072318506
macro_usdbrl_ret,0.000108996006
force_idx_z21,0.0
vol_rel_63,0.0
lag_ret_5,0.0
lag_ret_1,0.0
vol_rel_21,0.0
lag_ret_21,0.0
dow_seg,0.0
macro_ibov_ret,0.0
z_alpha_21,0.0
z_alpha_63,0.0
dow_sex,0.0
dow_qui,0.0
dow_qua,0.0
dow_ter,0.0
mes_01,0.0
mes_05,0.0
mes_06,0.0
mes_07,0.0
mes_09,0.0
mes_10,0.0
mes_11,0.0
mes_12,0.0
