feature,importance
cs_rank_126,0.08806836
risco_mercado_21,0.06550897
mes_11,0.058108836
mes_09,0.047740445
mom_252,0.045637585
obv_z21,0.044658642
cs_rank_21,0.043038644
bb_pctb_21,0.04129935
risco_mercado_63,0.040502526
atr_21,0.038234014
mes_12,0.0379947
trend_mercado_63,0.037440117
cs_rank_63,0.035107166
vol_21,0.034601357
mes_01,0.034472883
mom_126,0.033460326
mes_04,0.03168945
vol_63,0.030997891
mes_02,0.028951384
trend_mercado_21,0.028818969
mom_21,0.025059402
beta_63,0.019103745
vwap_dist_21,0.0186118
beta_21,0.01723268
rsi_21,0.015409453
mom_63,0.013159966
vol_rel_63,0.011776242
macro_usdbrl_ret,0.009993242
macro_ibov_ret,0.0065887216
dist_ema_63,0.005773608
dist_ema_21,0.005626279
vol_rel_21,0.0053331847
lag_ret_1,0.0
force_idx_z21,0.0
lag_ret_21,0.0
lag_ret_5,0.0
z_alpha_21,0.0
dow_seg,0.0
z_alpha_63,0.0
dow_sex,0.0
dow_ter,0.0
mes_03,0.0
dow_qua,0.0
dow_qui,0.0
mes_05,0.0
mes_08,0.0
mes_07,0.0
mes_06,0.0
mes_10,0.0
