feature,importance
cs_rank_126,0.16067651
mes_07,0.062061276
beta_21,0.06087205
mes_11,0.05656616
risco_mercado_21,0.056531068
risco_mercado_63,0.05645151
mes_10,0.051768877
mom_252,0.046288766
mom_126,0.045353185
beta_63,0.040693544
vol_21,0.03432467
vol_63,0.0327965
cs_rank_63,0.03253682
trend_mercado_21,0.02787397
atr_21,0.02676653
trend_mercado_63,0.023602122
mom_21,0.022190409
vwap_dist_21,0.020611485
mes_04,0.020007756
mom_63,0.01933539
mes_05,0.017865373
cs_rank_21,0.016460031
dist_ema_63,0.013647555
bb_pctb_21,0.012332231
mes_06,0.0107634375
rsi_21,0.010759734
z_alpha_21,0.006548537
obv_z21,0.0057471963
macro_ibov_ret,0.0041764807
vol_rel_21,0.002170551
lag_ret_21,0.0008941506
macro_usdbrl_ret,0.0006289287
vol_rel_63,0.00042724775
lag_ret_5,0.00027000005
dist_ema_21,0.0
lag_ret_1,0.0
force_idx_z21,0.0
dow_seg,0.0
z_alpha_63,0.0
dow_qui,0.0
dow_ter,0.0
mes_03,0.0
mes_02,0.0
mes_01,0.0
dow_sex,0.0
dow_qua,0.0
mes_08,0.0
mes_09,0.0
mes_12,0.0
