feature,importance
vol_63,0.140487
mes_07,0.057780527
mes_04,0.053474307
atr_21,0.045105238
mes_05,0.03985046
risco_mercado_63,0.038146146
mom_126,0.03709447
beta_63,0.035531756
cs_rank_126,0.03389298
mom_63,0.031713508
beta_21,0.031410802
vol_21,0.029047558
mom_252,0.028860493
risco_mercado_21,0.028600961
mes_08,0.028104046
obv_z21,0.023653733
bb_pctb_21,0.023441035
vol_rel_21,0.022881122
mes_10,0.021930689
trend_mercado_21,0.021803234
cs_rank_21,0.021087585
vwap_dist_21,0.02097859
dist_ema_63,0.020185253
trend_mercado_63,0.017743118
cs_rank_63,0.01693957
rsi_21,0.015752295
dist_ema_21,0.015431218
z_alpha_63,0.012712491
mom_21,0.011578775
mes_01,0.010810097
lag_ret_1,0.010770677
macro_ibov_ret,0.008819779
dow_ter,0.007399945
macro_usdbrl_ret,0.0060401484
z_alpha_21,0.006031892
dow_qua,0.005961387
lag_ret_21,0.0055706813
vol_rel_63,0.0051277466
lag_ret_5,0.004327289
force_idx_z21,0.003921427
dow_seg,0.0
mes_03,0.0
mes_02,0.0
dow_qui,0.0
dow_sex,0.0
mes_06,0.0
mes_09,0.0
mes_11,0.0
mes_12,0.0
