feature,shap_mean_abs
vol_63,0.1247408
beta_63,0.06294488
risco_mercado_21,0.05311179
mom_252,0.04600437
cs_rank_63,0.04552875
mom_126,0.043780256
risco_mercado_63,0.024776177
mom_63,0.022019956
vol_21,0.021727663
rsi_21,0.017581495
trend_mercado_21,0.016740369
beta_21,0.015553963
atr_21,0.015218896
mom_21,0.014138786
mes_04,0.013536412
bb_pctb_21,0.0131069515
cs_rank_126,0.012199466
dist_ema_63,0.012109194
mes_07,0.009187667
trend_mercado_63,0.009058035
cs_rank_21,0.007826196
vwap_dist_21,0.006912846
mes_06,0.0039120177
obv_z21,0.0038915805
dist_ema_21,0.0032200539
mes_11,0.0031428833
macro_usdbrl_ret,0.0022678054
z_alpha_21,0.001961011
mes_02,0.0013573063
z_alpha_63,0.0010549632
mes_05,0.001027243
vol_rel_63,0.0007252129
macro_ibov_ret,0.00041268577
lag_ret_5,0.00039817533
lag_ret_1,0.00036413711
force_idx_z21,8.062543e-05
lag_ret_21,0.0
vol_rel_21,0.0
dow_seg,0.0
dow_ter,0.0
dow_qua,0.0
mes_03,0.0
mes_01,0.0
dow_qui,0.0
dow_sex,0.0
mes_08,0.0
mes_09,0.0
mes_10,0.0
mes_12,0.0
