feature,importance_mean,importance_std,n_tickers,importance_mean_pct,rank
mom_252,0.06048632445,0.04091226039691046,20,6.048632416829099,1
risco_mercado_63,0.05814699685,0.024101571666326826,20,5.814699657918617,2
mom_126,0.0528199595,0.027165517573186214,20,5.281995925399632,3
vol_63,0.05032890775,0.0342578968695306,20,5.0328907515598145,4
trend_mercado_63,0.04219163995,0.02680663947662532,20,4.219163975349666,5
mom_63,0.04077236515,0.018310380887828315,20,4.077236496010679,6
risco_mercado_21,0.040419911725,0.015302341418926238,20,4.0419911536748305,7
atr_21,0.0384244761,0.02760624522262299,20,3.8424475921041847,8
dist_ema_63,0.036536303275,0.01881312938791713,20,3.653630310483582,9
cs_rank_126,0.036025981959999995,0.034171914769304514,20,3.6025981792212587,10
beta_21,0.035139085525,0.02306801026224058,20,3.5139085361343225,11
mes_02,0.0313937746,0.05156604000650966,20,3.1393774453786634,12
vol_21,0.03055037995,0.017809452373907724,20,3.0550379807714663,13
mes_05,0.030137313399999997,0.02436660994214343,20,3.0137313259638474,14
cs_rank_63,0.029721512639999996,0.020239586180057896,20,2.9721512501575025,15
beta_63,0.026516488425,0.012420005169034694,20,2.651648830150211,16
mes_09,0.02616960485,0.0207930926775533,20,2.616960472811768,17
mes_10,0.02550885415,0.02638608975172849,20,2.5508854031195063,18
mes_07,0.02427742635,0.029456982283746887,20,2.4277426236930313,19
mes_06,0.023272594325,0.03662664665384049,20,2.327259421661022,20
rsi_21,0.021997339125,0.016481437143130363,20,2.1997339022549594,21
mom_21,0.021453859675,0.0122367930625257,20,2.1453859575080796,22
vwap_dist_21,0.021205312405,0.013699070684286087,20,2.120531230623838,23
cs_rank_21,0.0210772077,0.02082707183096016,20,2.1077207601835015,24
mes_01,0.020733716035,0.026378910368227277,20,2.0733715938434787,25
mes_11,0.020555404785000002,0.024258671649194614,20,2.0555404689265258,26
trend_mercado_21,0.019412572240000002,0.0139977315564582,20,1.9412572149587888,27
mes_04,0.018539162050000002,0.02306080252429792,20,1.8539161963655708,28
dist_ema_21,0.01822035381,0.012763432693031032,20,1.8220353725140521,29
obv_z21,0.016350433415,0.012006309513564807,20,1.635043333884949,30
bb_pctb_21,0.014531046675000001,0.007800461921658673,20,1.4531046607323104,31
mes_03,0.01215497045,0.02336334757882013,20,1.215497039338944,32
mes_08,0.01035618093,0.016345803869368195,20,1.0356180881767123,33
mes_12,0.00586922055,0.013137777237771714,20,0.5869220522664692,34
vol_rel_63,0.0034415350924999998,0.00425694886917154,20,0.3441535076471394,35
macro_ibov_ret,0.0025335396200999996,0.0026186086619715103,20,0.2533539608300292,36
vol_rel_21,0.00252744126,0.003930298833381986,20,0.2527441248228695,37
force_idx_z21,0.002139359173,0.0027719341717182752,20,0.2139359163036149,38
lag_ret_21,0.00194717778,0.002665431131436127,20,0.1947177770931214,39
lag_ret_5,0.001487627284,0.002099206233417306,20,0.14876272770715246,40
macro_usdbrl_ret,0.0014693617723,0.002217361802555201,20,0.14693617654565944,41
z_alpha_21,0.0014622123305,0.00318151494207675,20,0.14622123236898923,42
z_alpha_63,0.000942754405,0.002067977815633469,20,0.09427544006092156,43
lag_ret_1,0.00057641279,0.0008946876359579947,20,0.0576412787315415,44
dow_qua,0.00010016763000000001,0.00044796325965009456,20,0.010016762953347929,45
dow_seg,3.842169e-05,0.0001718270213008478,20,0.003842168982105482,46
dow_sex,3.731306e-05,0.0001668690772170566,20,0.003731305982621815,47
dow_ter,0.0,0.0,20,0.0,48
dow_qui,0.0,0.0,20,0.0,49
