date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,B3SA3,11.905742,1,0.060839765,0,0
2024-09-02,B3SA3,11.671007,0,0.65895605,1,0
2024-09-03,B3SA3,11.408105,0,0.16754395,0,1
2024-09-04,B3SA3,11.783679,1,0.00832667,0,0
2024-09-05,B3SA3,11.821238,0,0.064358175,0,1
2024-09-06,B3SA3,11.483219,0,0.0009931305,0,1
2024-09-09,B3SA3,11.548944,0,0.0022571697,0,1
2024-09-10,B3SA3,11.680396,0,0.5502849,1,0
2024-09-11,B3SA3,11.389326,0,0.015384269,0,1
2024-09-12,B3SA3,11.314211,1,0.9597889,1,1
2024-09-13,B3SA3,11.389326,1,0.999948,1,1
2024-09-16,B3SA3,11.417493,0,0.9999981,1,0
2024-09-17,B3SA3,11.511388,0,0.9999933,1,0
2024-09-18,B3SA3,11.389326,0,0.99981266,1,0
2024-09-19,B3SA3,11.267263,0,0.99713385,1,0
2024-09-20,B3SA3,10.891688,0,0.9986438,1,0
2024-09-23,B3SA3,10.516111,0,0.999652,1,0
2024-09-24,B3SA3,10.56306,0,0.999739,1,0
2024-09-25,B3SA3,10.218034,0,0.9992907,1,0
2024-09-26,B3SA3,10.274854,0,0.9969398,1,0
2024-09-27,B3SA3,10.161213,0,0.6157565,1,0
2024-09-30,B3SA3,10.142274,1,0.99922824,1,1
2024-10-01,B3SA3,10.142274,0,0.9999852,1,0
2024-10-02,B3SA3,10.360082,1,0.99983525,1,1
2024-10-03,B3SA3,10.151745,1,0.99998724,1,1
2024-10-04,B3SA3,10.180154,1,0.9999163,1,1
2024-10-07,B3SA3,9.990757,1,0.999998,1,1
2024-10-08,B3SA3,10.132804,1,0.99999845,1,1
2024-10-09,B3SA3,10.113865,1,0.99999154,1,1
2024-10-10,B3SA3,10.180154,1,0.98112077,1,1
2024-10-11,B3SA3,10.123335,0,0.8127416,1,0
2024-10-14,B3SA3,10.303264,0,0.8132765,1,0
2024-10-15,B3SA3,10.265383,1,0.86524874,1,1
2024-10-16,B3SA3,10.397962,0,0.7702163,1,0
2024-10-17,B3SA3,10.151745,0,0.9991615,1,0
2024-10-18,B3SA3,10.085455,1,0.9741664,1,1
2024-10-21,B3SA3,10.274854,1,0.99774086,1,1
2024-10-22,B3SA3,10.047576,0,0.98604554,1,0
2024-10-23,B3SA3,10.057044,1,0.0007386566,0,0
2024-10-24,B3SA3,10.208564,1,5.0119008e-05,0,0
2024-10-25,B3SA3,10.142274,0,4.8202514e-07,0,1
2024-10-28,B3SA3,10.312733,0,2.381381e-07,0,1
2024-10-29,B3SA3,10.255914,1,9.835646e-06,0,0
2024-10-30,B3SA3,10.208564,1,0.000116562456,0,0
2024-10-31,B3SA3,10.057044,0,0.00058420544,0,1
2024-11-01,B3SA3,9.867646,1,0.0011652592,0,0
2024-11-04,B3SA3,10.284323,0,0.00080706674,0,1
2024-11-05,B3SA3,10.388492,0,0.0031419771,0,1
2024-11-06,B3SA3,10.085455,0,0.00019215622,0,1
