date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,BBAS3,25.690308,1,0.99994266,1,1
2024-09-02,BBAS3,25.964386,1,0.9999188,1,1
2024-09-03,BBAS3,26.201921,1,0.9997799,1,1
2024-09-04,BBAS3,26.485132,1,0.99588794,1,1
2024-09-05,BBAS3,26.72267,1,0.9996345,1,1
2024-09-06,BBAS3,26.284145,0,0.9888742,1,0
2024-09-09,BBAS3,26.613035,0,0.99061894,1,0
2024-09-10,BBAS3,26.220194,0,0.15811984,0,1
2024-09-11,BBAS3,26.229328,0,0.032005418,0,1
2024-09-12,BBAS3,25.959524,0,0.55661255,1,0
2024-09-13,BBAS3,26.134247,0,0.7447938,1,0
2024-09-16,BBAS3,26.27218,0,0.7006899,1,0
2024-09-17,BBAS3,26.10666,0,0.42765054,0,1
2024-09-18,BBAS3,25.977917,0,0.28917372,0,1
2024-09-19,BBAS3,25.665264,0,0.9602995,1,0
2024-09-20,BBAS3,25.288239,0,0.7673494,1,0
2024-09-23,BBAS3,25.196281,0,0.81284624,1,0
2024-09-24,BBAS3,25.177889,0,0.4821642,0,1
2024-09-25,BBAS3,25.104322,0,0.2180282,0,1
2024-09-26,BBAS3,25.269846,0,0.38738525,0,1
2024-09-27,BBAS3,25.058346,0,0.4732059,0,1
2024-09-30,BBAS3,24.993977,0,0.2749377,0,1
2024-10-01,BBAS3,24.90202,0,0.3425252,0,1
2024-10-02,BBAS3,24.966387,1,0.17230971,0,0
2024-10-03,BBAS3,24.736496,1,0.035263617,0,0
2024-10-04,BBAS3,24.699715,0,0.11359219,0,1
2024-10-07,BBAS3,24.819256,0,0.017910944,0,1
2024-10-08,BBAS3,24.81006,0,0.68069637,1,0
2024-10-09,BBAS3,24.304296,0,0.99952996,1,0
2024-10-10,BBAS3,24.092794,0,0.99966156,1,0
2024-10-11,BBAS3,24.21234,1,0.99992895,1,1
2024-10-14,BBAS3,24.38706,1,0.999905,1,1
2024-10-15,BBAS3,24.341078,1,0.99975735,1,1
2024-10-16,BBAS3,24.607754,1,0.9999856,1,1
2024-10-17,BBAS3,24.57097,1,0.99999964,1,1
2024-10-18,BBAS3,24.543388,0,0.99999964,1,0
2024-10-21,BBAS3,24.479015,0,0.9999987,1,0
2024-10-22,BBAS3,24.184753,0,0.9999994,1,0
2024-10-23,BBAS3,24.21234,0,0.999997,1,0
2024-10-24,BBAS3,24.239927,0,0.9999634,1,0
2024-10-25,BBAS3,24.249125,1,0.9999373,1,1
2024-10-28,BBAS3,24.20314,1,0.99998856,1,1
2024-10-29,BBAS3,24.06521,1,0.99999225,1,1
2024-10-30,BBAS3,24.249125,1,0.99929833,1,1
2024-10-31,BBAS3,24.21234,0,0.99992645,1,0
2024-11-01,BBAS3,23.991646,0,0.99997985,1,0
2024-11-04,BBAS3,24.129578,0,0.9999746,1,0
2024-11-05,BBAS3,24.138773,1,0.99992824,1,1
