date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,BBDC4,13.4147005,1,0.9960775,1,1
2024-09-02,BBDC4,13.380392,1,0.98987204,1,1
2024-09-03,BBDC4,13.525503,1,0.98374486,1,1
2024-09-04,BBDC4,13.628554,1,0.9849438,1,1
2024-09-05,BBDC4,13.74878,0,0.6306931,1,0
2024-09-06,BBDC4,13.482565,0,0.5753686,1,0
2024-09-09,BBDC4,13.525503,0,0.056255985,0,1
2024-09-10,BBDC4,13.568442,0,0.09084629,0,1
2024-09-11,BBDC4,13.413863,0,0.020592932,0,1
2024-09-12,BBDC4,13.353748,0,0.007527024,0,1
2024-09-13,BBDC4,13.353748,0,0.021231057,0,1
2024-09-16,BBDC4,13.250697,0,0.019626752,0,1
2024-09-17,BBDC4,13.16482,0,0.003475305,0,1
2024-09-18,BBDC4,13.087534,0,0.010857766,0,1
2024-09-19,BBDC4,12.907193,0,0.09468751,0,1
2024-09-20,BBDC4,12.666739,0,0.2137442,0,1
2024-09-23,BBDC4,12.340412,1,0.22600389,0,0
2024-09-24,BBDC4,12.3232355,1,0.25783485,0,0
2024-09-25,BBDC4,12.400524,1,0.21976216,0,0
2024-09-26,BBDC4,12.718265,1,0.08132083,0,0
2024-09-27,BBDC4,12.829904,1,0.07006667,0,0
2024-09-30,BBDC4,12.623802,1,0.00088358327,0,0
2024-10-01,BBDC4,12.787038,1,0.00058457133,0,0
2024-10-02,BBDC4,13.248084,1,0.0042193187,0,0
2024-10-03,BBDC4,13.108628,1,0.00013276833,0,0
2024-10-04,BBDC4,13.1260605,1,0.00023260032,0,0
2024-10-07,BBDC4,13.248084,0,0.0031077466,0,1
2024-10-08,BBDC4,13.265514,0,0.0045909644,0,1
2024-10-09,BBDC4,13.004041,0,1.6645006e-05,0,1
2024-10-10,BBDC4,13.073766,0,4.624217e-05,0,1
2024-10-11,BBDC4,12.899448,1,0.0027876534,0,0
2024-10-14,BBDC4,13.0912,1,0.0017873547,0,0
2024-10-15,BBDC4,13.204504,1,0.04486615,0,0
2024-10-16,BBDC4,13.160925,1,0.0063987076,0,0
2024-10-17,BBDC4,13.248084,1,0.0010454745,0,0
2024-10-18,BBDC4,13.352673,1,0.0045059687,0,0
2024-10-21,BBDC4,13.317811,0,0.00049580337,0,1
2024-10-22,BBDC4,13.23065,0,0.00019077497,0,1
2024-10-23,BBDC4,13.178358,0,1.8738643e-05,0,1
2024-10-24,BBDC4,13.204504,0,1.3647318e-05,0,1
2024-10-25,BBDC4,13.012757,0,2.62732e-06,0,1
2024-10-28,BBDC4,13.248084,0,6.1295157e-07,0,1
2024-10-29,BBDC4,13.056334,0,2.0650465e-05,0,1
2024-10-30,BBDC4,13.099913,0,1.2159059e-05,0,1
2024-10-31,BBDC4,12.524669,0,4.115906e-05,0,1
2024-11-01,BBDC4,12.298057,0,1.6165875e-05,0,1
2024-11-04,BBDC4,12.314618,0,0.0029130161,0,1
2024-11-05,BBDC4,12.157519,0,0.0017120838,0,1
2024-11-06,BBDC4,12.052792,0,0.7588139,1,0
2024-11-07,BBDC4,11.921874,0,0.98809296,1,0
2024-11-08,BBDC4,11.790961,1,0.997897,1,1
2024-11-11,BBDC4,11.747325,1,0.9965048,1,1
2024-11-12,BBDC4,11.6862335,1,0.9903155,1,1
2024-11-13,BBDC4,11.764776,1,0.96035194,1,1
2024-11-14,BBDC4,11.808417,1,0.9733421,1,1
2024-11-18,BBDC4,11.974241,0,0.95320433,1,0
2024-11-19,BBDC4,12.061518,0,0.38470194,0,1
2024-11-21,BBDC4,12.017878,0,0.0002215374,0,1
2024-11-22,BBDC4,12.044063,0,0.00040889237,0,1
2024-11-25,BBDC4,11.869512,0,0.0031926895,0,1
2024-11-26,BBDC4,11.948059,0,0.40749845,0,1
2024-11-27,BBDC4,11.625141,0,0.98115575,1,0
2024-11-28,BBDC4,11.136393,0,0.60552275,1,0
2024-11-29,BBDC4,11.022935,0,0.99638414,1,0
2024-12-02,BBDC4,10.78729,0,0.99020314,1,0
2024-12-03,BBDC4,10.751431,0,0.99879324,1,0
2024-12-04,BBDC4,10.873804,0,0.9935376,1,0
2024-12-05,BBDC4,11.022401,0,0.9920415,1,0
2024-12-06,BBDC4,10.768913,0,0.18027909,0,1
2024-12-09,BBDC4,10.698984,0,0.002508721,0,1
2024-12-10,BBDC4,10.908766,1,0.0004735818,0,0
2024-12-11,BBDC4,11.1010685,0,0.5668212,1,0
2024-12-12,BBDC4,10.716467,0,0.009879832,0,1
2024-12-13,BBDC4,10.576612,0,0.005982561,0,1
2024-12-16,BBDC4,10.40179,0,0.0042910697,0,1
2024-12-17,BBDC4,10.480458,0,0.0024132265,0,1
2024-12-18,BBDC4,10.043408,0,0.9957272,1,0
2024-12-19,BBDC4,10.05215,1,0.9999145,1,1
2024-12-20,BBDC4,10.279417,1,0.99982566,1,1
2024-12-23,BBDC4,10.095856,1,0.9997814,1,1
2024-12-26,BBDC4,10.174524,1,0.67726743,1,1
2024-12-27,BBDC4,10.095856,1,0.9983968,1,1
2024-12-30,BBDC4,10.104597,1,0.99782085,1,1
2025-01-02,BBDC4,10.224762,1,0.4710728,0,0
2025-01-03,BBDC4,10.062128,0,0.2993301,0,1
2025-01-06,BBDC4,10.259775,0,0.017412674,0,1
2025-01-07,BBDC4,10.403521,0,0.9877956,1,0
2025-01-08,BBDC4,10.241806,1,0.99013674,1,1
2025-01-09,BBDC4,10.169935,1,0.99181974,1,1
2025-01-10,BBDC4,10.044159,1,0.9998741,1,1
2025-01-13,BBDC4,10.080096,1,0.9999871,1,1
2025-01-14,BBDC4,10.268759,1,0.9994708,1,1
2025-01-15,BBDC4,10.628121,0,0.9952644,1,0
2025-01-16,BBDC4,10.53828,0,0.9991848,1,0
2025-01-17,BBDC4,10.412503,0,0.9904102,1,0
2025-01-20,BBDC4,10.448441,0,0.94935447,1,0
2025-01-21,BBDC4,10.457424,0,0.9998319,1,0
2025-01-22,BBDC4,10.31368,0,0.99067795,1,0
2025-01-23,BBDC4,10.232826,0,0.99775106,1,0
2025-01-24,BBDC4,10.151965,1,0.99993575,1,1
2025-01-27,BBDC4,10.403521,1,0.9998242,1,1
2025-01-28,BBDC4,10.448441,1,0.99999404,1,1
2025-01-29,BBDC4,10.340633,1,0.9993855,1,1
2025-01-30,BBDC4,10.906628,1,0.6940533,1,1
2025-01-31,BBDC4,10.861705,1,0.993883,1,1
2025-02-03,BBDC4,10.843739,1,0.06265793,0,0
2025-02-04,BBDC4,10.824819,0,0.07222402,0,1
2025-02-05,BBDC4,11.076767,1,0.08292392,0,0
2025-02-06,BBDC4,11.229737,0,0.0049293377,0,1
2025-02-07,BBDC4,10.788827,0,2.7890595e-05,0,1
2025-02-10,BBDC4,10.797827,0,1.3035503e-05,0,1
2025-02-11,BBDC4,11.049773,0,0.00073899416,0,1
2025-02-12,BBDC4,10.545876,0,0.00078833016,0,1
2025-02-13,BBDC4,10.689848,0,0.0002836872,0,1
2025-02-14,BBDC4,10.968789,0,0.94126415,1,0
