date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,CMIG4,9.481497,1,0.9990909,1,1
2024-09-02,CMIG4,9.530412,1,0.9994246,1,1
2024-09-03,CMIG4,9.473345,1,0.99867684,1,1
2024-09-04,CMIG4,9.74238,1,0.99801195,1,1
2024-09-05,CMIG4,9.70977,0,0.99777335,1,0
2024-09-06,CMIG4,9.652703,1,0.9425826,1,1
2024-09-09,CMIG4,9.660854,0,0.97788495,1,0
2024-09-10,CMIG4,9.611938,0,0.7911007,1,0
2024-09-11,CMIG4,9.587481,0,0.3596334,0,1
2024-09-12,CMIG4,9.538565,1,0.023798415,0,0
2024-09-13,CMIG4,9.595634,0,0.002787787,0,1
2024-09-16,CMIG4,9.571176,1,0.0010101738,0,0
2024-09-17,CMIG4,9.554872,1,0.0005806728,0,0
2024-09-18,CMIG4,9.546718,1,0.00051915017,0,0
2024-09-19,CMIG4,9.465192,0,0.0015984131,0,1
2024-09-20,CMIG4,9.43258,1,5.1797473e-05,0,0
2024-09-23,CMIG4,9.399971,0,0.050953306,0,1
2024-09-24,CMIG4,9.371188,0,0.1533949,0,1
2024-09-25,CMIG4,9.379459,1,0.35525233,0,0
2024-09-26,CMIG4,9.478713,0,0.78267556,1,0
2024-09-27,CMIG4,9.362917,0,0.24693444,0,1
2024-09-30,CMIG4,9.429087,0,0.050805792,0,1
2024-10-01,CMIG4,9.44563,0,0.5398011,1,0
2024-10-02,CMIG4,9.429087,0,0.0005107691,0,1
2024-10-03,CMIG4,9.296748,0,0.021519704,0,1
2024-10-04,CMIG4,9.23058,0,0.95101637,1,0
2024-10-07,CMIG4,9.255392,1,0.95251465,1,1
2024-10-08,CMIG4,9.23058,1,0.9932106,1,1
2024-10-09,CMIG4,9.131326,0,0.9863462,1,0
2024-10-10,CMIG4,9.1974945,0,0.8911451,1,0
2024-10-11,CMIG4,9.114783,0,0.16845718,0,1
2024-10-14,CMIG4,9.189223,0,0.04340743,0,1
