date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,GGBR4,17.290905,0,0.99124736,1,0
2024-09-02,GGBR4,17.309803,1,0.6490154,1,1
2024-09-03,GGBR4,16.723995,1,0.17794697,0,0
2024-09-04,GGBR4,17.234213,1,0.011577319,0,0
2024-09-05,GGBR4,17.385393,1,0.05219258,0,0
2024-09-06,GGBR4,17.168077,1,0.0011030876,0,0
2024-09-09,GGBR4,17.47988,1,2.762886e-05,0,0
2024-09-10,GGBR4,17.47043,0,7.1164186e-06,0,1
2024-09-11,GGBR4,17.546017,0,2.0864952e-06,0,1
2024-09-12,GGBR4,17.574364,0,1.1678627e-05,0,1
2024-09-13,GGBR4,17.763338,0,1.0462597e-05,0,1
2024-09-16,GGBR4,17.460981,0,2.876524e-05,0,1
2024-09-17,GGBR4,17.498777,0,1.3834891e-05,0,1
2024-09-18,GGBR4,17.404291,1,0.0003234553,0,0
2024-09-19,GGBR4,17.432638,1,0.00012726783,0,0
2024-09-20,GGBR4,17.054691,1,0.012709772,0,0
2024-09-23,GGBR4,16.761786,1,0.00013573184,0,0
2024-09-24,GGBR4,17.460981,1,0.49140307,0,0
2024-09-25,GGBR4,17.262562,1,0.35477895,0,0
2024-09-26,GGBR4,17.933413,1,0.0075180386,0,0
2024-09-27,GGBR4,17.95231,1,0.010501982,0,0
2024-09-30,GGBR4,18.046797,1,0.002521424,0,0
2024-10-01,GGBR4,18.075142,1,0.3006075,0,0
2024-10-02,GGBR4,18.301908,1,0.20873716,0,0
2024-10-03,GGBR4,17.810583,1,0.20950782,0,0
2024-10-04,GGBR4,18.122387,1,0.84510726,1,1
2024-10-07,GGBR4,18.34915,0,0.9629492,1,0
2024-10-08,GGBR4,18.0279,0,0.29136473,0,1
2024-10-09,GGBR4,18.056246,0,0.030013219,0,1
2024-10-10,GGBR4,18.094038,0,0.5726767,1,0
2024-10-11,GGBR4,17.41374,0,0.5593274,1,0
2024-10-14,GGBR4,17.442083,0,0.54314697,1,0
2024-10-15,GGBR4,17.328703,0,0.99897826,1,0
2024-10-16,GGBR4,17.253115,1,0.17668869,0,0
2024-10-17,GGBR4,17.186974,1,0.00047365468,0,0
2024-10-18,GGBR4,17.385393,0,0.00024184836,0,1
2024-10-21,GGBR4,17.328703,0,0.028678892,0,1
2024-10-22,GGBR4,17.168077,0,0.011267009,0,1
2024-10-23,GGBR4,16.969654,1,0.06416165,0,0
2024-10-24,GGBR4,16.931864,1,0.71372426,1,1
2024-10-25,GGBR4,16.998001,1,0.93425184,1,1
2024-10-28,GGBR4,17.272013,1,0.54596573,1,1
2024-10-29,GGBR4,17.460981,1,0.60594875,1,1
2024-10-30,GGBR4,17.404291,0,0.2779842,0,1
2024-10-31,GGBR4,17.290905,1,0.018608743,0,0
2024-11-01,GGBR4,17.196423,1,0.27895588,0,0
2024-11-04,GGBR4,17.224766,1,0.6347,1,1
2024-11-05,GGBR4,17.20587,1,0.9521666,1,1
2024-11-06,GGBR4,18.859373,1,0.9977749,1,1
2024-11-07,GGBR4,19.369596,1,0.999326,1,1
2024-11-08,GGBR4,19.3318,0,0.9954607,1,0
2024-11-11,GGBR4,19.322357,0,0.010287015,0,1
2024-11-12,GGBR4,18.594814,0,0.9778282,1,0
2024-11-13,GGBR4,18.69875,1,0.9873696,1,1
2024-11-14,GGBR4,18.925516,1,0.99687564,1,1
2024-11-18,GGBR4,18.840477,1,0.9693425,1,1
2024-11-19,GGBR4,18.830881,0,0.9803925,1,0
2024-11-21,GGBR4,18.907625,1,0.99891627,1,1
2024-11-22,GGBR4,18.984371,1,0.99840873,1,1
2024-11-25,GGBR4,19.4832,1,0.99900275,1,1
2024-11-26,GGBR4,19.137856,1,0.99998105,1,1
2024-11-27,GGBR4,19.310528,1,0.99990296,1,1
2024-11-28,GGBR4,19.425644,1,0.9999988,1,1
2024-11-29,GGBR4,19.473608,1,0.9999442,1,1
