date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,LREN3,14.331477,1,0.0006016796,0,0
2024-09-02,LREN3,14.033249,1,0.0010935497,0,0
2024-09-03,LREN3,14.273489,1,0.008011403,0,0
2024-09-04,LREN3,14.48059,1,0.999468,1,1
2024-09-05,LREN3,14.936219,1,0.99993813,1,1
2024-09-06,LREN3,14.679409,1,0.99991655,1,1
2024-09-09,LREN3,14.555147,1,0.99911994,1,1
2024-09-10,LREN3,14.646275,1,0.9756857,1,1
2024-09-11,LREN3,15.0356245,1,0.81746686,1,1
2024-09-12,LREN3,15.226158,1,0.44097504,0,0
2024-09-13,LREN3,15.690067,1,0.17793141,0,0
2024-09-16,LREN3,16.038,0,0.12536235,0,1
2024-09-17,LREN3,15.79776,0,0.70863265,1,0
2024-09-18,LREN3,15.739774,0,0.85965717,1,0
2024-09-19,LREN3,15.623797,0,0.8627807,1,0
2024-09-20,LREN3,14.9445,0,0.04309489,0,1
2024-09-23,LREN3,14.671125,0,0.117066815,0,1
2024-09-24,LREN3,15.458113,1,0.93285996,1,1
2024-09-25,LREN3,15.10597,0,0.8287376,1,0
2024-09-26,LREN3,15.047453,1,0.031182298,0,0
2024-09-27,LREN3,14.905336,1,0.058149874,0,0
2024-09-30,LREN3,15.0976095,1,0.061196323,0,0
2024-10-01,LREN3,14.938776,0,0.17954703,0,1
2024-10-02,LREN3,15.340042,1,0.0089626815,0,0
2024-10-03,LREN3,15.014013,0,0.0042049466,0,1
2024-10-04,LREN3,15.139409,1,0.0022396478,0,0
2024-10-07,LREN3,14.796659,1,0.0008793079,0,0
2024-10-08,LREN3,15.047453,1,0.00033980305,0,0
2024-10-09,LREN3,14.746503,1,0.00036997543,0,0
2024-10-10,LREN3,15.131048,1,0.0015505184,0,0
2024-10-11,LREN3,15.640991,1,0.013514141,0,0
2024-10-14,LREN3,15.808184,0,0.00029147396,0,1
2024-10-15,LREN3,15.8416195,0,0.0005132657,0,1
2024-10-16,LREN3,15.707867,0,0.4260873,0,1
2024-10-17,LREN3,15.640991,0,0.95951843,1,0
2024-10-18,LREN3,15.38184,1,0.986416,1,1
2024-10-21,LREN3,15.423638,1,0.9938174,1,1
2024-10-22,LREN3,15.181207,0,0.97360724,1,0
2024-10-23,LREN3,15.014013,1,0.7606809,1,1
2024-10-24,LREN3,15.741309,1,0.11179943,0,0
2024-10-25,LREN3,15.440356,0,0.0030035446,0,1
2024-10-28,LREN3,15.473796,0,0.059611157,0,1
2024-10-29,LREN3,15.465434,1,0.14911053,0,0
2024-10-30,LREN3,15.565754,1,0.10616393,0,0
2024-10-31,LREN3,15.523956,1,0.0011287685,0,0
2024-11-01,LREN3,15.139409,0,0.0032296574,0,1
2024-11-04,LREN3,15.732946,0,0.0032189053,0,1
2024-11-05,LREN3,15.632631,0,0.0003990571,0,1
2024-11-06,LREN3,15.632631,0,0.00076057244,0,1
2024-11-07,LREN3,15.114329,0,0.0009498318,0,1
2024-11-08,LREN3,14.186403,0,0.0027426262,0,1
2024-11-11,LREN3,13.99413,0,0.5256106,1,0
2024-11-12,LREN3,13.977411,0,0.99886405,1,0
2024-11-13,LREN3,13.860374,0,0.9644912,1,0
2024-11-14,LREN3,13.785138,0,0.00034024732,0,1
2024-11-18,LREN3,13.626303,0,0.024357565,0,1
2024-11-19,LREN3,13.843657,1,0.7163396,1,1
2024-11-21,LREN3,13.108003,0,0.17482704,0,1
2024-11-22,LREN3,13.500909,0,0.0003981846,0,1
2024-11-25,LREN3,13.551065,0,0.7863478,1,0
2024-11-26,LREN3,14.228201,0,0.33131883,0,1
2024-11-27,LREN3,13.492548,0,0.0011514649,0,1
2024-11-28,LREN3,12.12156,0,0.00043650763,0,1
2024-11-29,LREN3,12.589703,1,0.055413716,0,0
2024-12-02,LREN3,12.531182,1,0.130685,0,0
2024-12-03,LREN3,12.873933,1,0.00017769633,0,0
2024-12-04,LREN3,13.091283,0,0.0008058555,0,1
2024-12-05,LREN3,13.342073,0,0.6569327,1,0
2024-12-06,LREN3,13.066204,0,0.9658174,1,0
2024-12-09,LREN3,12.865572,0,0.9547993,1,0
2024-12-10,LREN3,12.949168,0,0.9958682,1,0
2024-12-11,LREN3,13.300275,0,0.9998379,1,0
2024-12-12,LREN3,12.57967,0,0.99932265,1,0
2024-12-13,LREN3,12.561279,0,0.9732959,1,0
2024-12-16,LREN3,12.193452,1,0.9887475,1,1
2024-12-17,LREN3,12.294604,0,0.4739543,0,1
2024-12-18,LREN3,11.586538,0,0.2544461,0,1
2024-12-19,LREN3,11.96356,0,0.21532102,0,1
2024-12-20,LREN3,12.349778,0,0.8913716,1,0
2024-12-23,LREN3,11.614126,0,0.11602224,0,1
2024-12-26,LREN3,11.568148,0,0.2623393,0,1
2024-12-27,LREN3,11.391606,1,0.035791975,0,0
2024-12-30,LREN3,11.298385,1,0.104540266,0,0
2025-01-02,LREN3,11.186521,1,0.048773155,0,0
2025-01-03,LREN3,11.32635,1,0.44252637,0,0
2025-01-06,LREN3,11.680591,1,0.8947189,1,1
2025-01-07,LREN3,12.183985,1,0.4710567,0,0
2025-01-08,LREN3,11.997541,0,0.36047155,0,1
2025-01-09,LREN3,12.118731,1,0.00534464,0,0
2025-01-10,LREN3,11.969576,0,0.0010867884,0,1
2025-01-13,LREN3,11.978898,0,0.0007727124,0,1
2025-01-14,LREN3,11.755167,0,0.0021700212,0,1
2025-01-15,LREN3,12.305171,0,0.0067015644,0,1
2025-01-16,LREN3,11.568726,0,0.7964062,1,0
2025-01-17,LREN3,11.494149,1,0.727175,1,1
2025-01-20,LREN3,11.559403,1,0.074585624,0,0
2025-01-21,LREN3,11.671269,1,0.8327476,1,1
2025-01-22,LREN3,12.239917,1,0.8250501,1,1
2025-01-23,LREN3,12.118731,1,0.9833092,1,1
2025-01-24,LREN3,12.277206,1,0.9953434,1,1
2025-01-27,LREN3,12.724666,1,0.9833847,1,1
2025-01-28,LREN3,12.51958,0,0.99825674,1,0
2025-01-29,LREN3,12.482291,0,0.97498554,1,0
2025-01-30,LREN3,12.95772,0,0.5705835,1,0
2025-01-31,LREN3,12.724666,0,0.18800811,0,1
2025-02-03,LREN3,12.640767,0,0.036487103,0,1
2025-02-04,LREN3,12.286527,0,0.12272392,0,1
2025-02-05,LREN3,12.137374,0,0.0485503,0,1
