date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,MGLU3,11.242749,0,0.30201125,0,1
2024-09-02,MGLU3,11.067081,0,0.015744573,0,1
2024-09-03,MGLU3,10.798956,0,0.0003289124,0,1
2024-09-04,MGLU3,11.131801,0,0.0018742016,0,1
2024-09-05,MGLU3,11.372189,0,0.00041339095,0,1
2024-09-06,MGLU3,10.909905,0,7.0062924e-05,0,1
2024-09-09,MGLU3,10.651026,0,0.01026366,0,1
2024-09-10,MGLU3,10.475358,1,0.0055965926,0,0
2024-09-11,MGLU3,10.419884,1,0.024404764,0,0
2024-09-12,MGLU3,10.327427,1,0.112438545,0,0
2024-09-13,MGLU3,10.724992,1,0.05110151,0,0
2024-09-16,MGLU3,10.808203,0,0.011422419,0,1
2024-09-17,MGLU3,10.9838705,0,0.03900281,0,1
2024-09-18,MGLU3,10.651026,0,0.15997435,0,1
2024-09-19,MGLU3,10.318181,0,0.8056161,1,0
2024-09-20,MGLU3,9.569281,0,0.2971156,0,1
2024-09-23,MGLU3,9.2641735,0,0.9254164,1,0
2024-09-24,MGLU3,9.421349,0,0.7491656,1,0
2024-09-25,MGLU3,9.245683,0,0.9872048,1,0
2024-09-26,MGLU3,9.060768,0,0.98751813,1,0
2024-09-27,MGLU3,9.245683,1,0.9799887,1,1
2024-09-30,MGLU3,8.968312,0,0.94293284,1,0
2024-10-01,MGLU3,8.986802,0,0.99619114,1,0
2024-10-02,MGLU3,9.106997,0,0.9995252,1,0
2024-10-03,MGLU3,8.996049,0,0.99987924,1,0
2024-10-04,MGLU3,8.940575,0,0.9997813,1,0
2024-10-07,MGLU3,8.792644,0,0.999736,1,0
2024-10-08,MGLU3,8.848118,1,0.99925023,1,1
2024-10-09,MGLU3,8.543011,1,0.9979449,1,1
2024-10-10,MGLU3,8.515273,1,0.9073167,1,1
2024-10-11,MGLU3,8.73717,1,0.0094180815,0,0
2024-10-14,MGLU3,9.060768,0,0.09169161,0,1
2024-10-15,MGLU3,8.968312,0,0.2448808,0,1
2024-10-16,MGLU3,9.060768,0,0.69006383,1,0
2024-10-17,MGLU3,8.848118,0,0.8847197,1,0
2024-10-18,MGLU3,8.690941,0,0.992943,1,0
2024-10-21,MGLU3,8.940575,0,0.99445623,1,0
2024-10-22,MGLU3,8.598484,0,0.9973679,1,0
2024-10-23,MGLU3,8.459799,0,0.9848476,1,0
2024-10-24,MGLU3,8.764907,1,0.5881471,1,1
2024-10-25,MGLU3,8.441308,1,0.22621691,0,0
2024-10-28,MGLU3,8.75566,0,0.2678532,0,1
2024-10-29,MGLU3,8.533765,1,0.5278476,1,1
2024-10-30,MGLU3,8.8758545,1,0.76535505,1,1
2024-10-31,MGLU3,8.746415,1,0.99417466,1,1
2024-11-01,MGLU3,8.191674,0,0.9870127,1,0
2024-11-04,MGLU3,9.042277,1,0.98742664,1,1
2024-11-05,MGLU3,9.22719,0,0.043499045,0,1
2024-11-06,MGLU3,8.996049,0,0.04599654,0,1
2024-11-07,MGLU3,8.67245,0,0.91385424,1,0
2024-11-08,MGLU3,8.8758545,0,0.39395365,0,1
2024-11-11,MGLU3,8.690941,0,0.10092843,0,1
2024-11-12,MGLU3,8.533765,0,0.9781985,1,0
2024-11-13,MGLU3,8.5615015,0,0.98226386,1,0
2024-11-14,MGLU3,8.321114,1,0.97831464,1,1
2024-11-18,MGLU3,8.533765,1,0.96840894,1,1
2024-11-19,MGLU3,8.67245,1,0.9812073,1,1
2024-11-21,MGLU3,8.450552,1,0.81297714,1,1
2024-11-22,MGLU3,8.709432,1,0.9768182,1,1
2024-11-25,MGLU3,9.254928,0,0.6776201,1,0
2024-11-26,MGLU3,9.837406,0,0.89188933,1,0
2024-11-27,MGLU3,8.912837,0,0.67375565,1,0
2024-11-28,MGLU3,8.311868,0,0.94225204,1,0
2024-11-29,MGLU3,8.348851,0,0.0011162774,0,1
2024-12-02,MGLU3,8.506027,0,1.0086141e-05,0,1
2024-12-03,MGLU3,8.60773,0,1.2608401e-05,0,1
2024-12-04,MGLU3,8.543011,0,5.0694827e-05,0,1
2024-12-05,MGLU3,8.496781,0,0.00035542843,0,1
2024-12-06,MGLU3,7.8958125,0,0.0021261587,0,1
2024-12-09,MGLU3,7.8218465,0,0.0006470534,0,1
2024-12-10,MGLU3,8.062234,0,0.812594,1,0
2024-12-11,MGLU3,8.515273,0,0.9983972,1,0
2024-12-12,MGLU3,7.7478814,0,0.9988673,1,0
2024-12-13,MGLU3,7.581459,0,0.99986064,1,0
2024-12-16,MGLU3,7.1746497,0,0.9997811,1,0
2024-12-17,MGLU3,6.906524,0,0.98786724,1,0
2024-12-18,MGLU3,6.2130985,0,0.7118186,1,0
2024-12-19,MGLU3,6.592171,0,0.984469,1,0
2024-12-20,MGLU3,6.749347,0,0.99148273,1,0
2024-12-23,MGLU3,6.453486,0,0.572474,1,0
2024-12-26,MGLU3,6.03743,0,0.19159555,0,1
2024-12-27,MGLU3,6.018939,1,0.6268106,1,1
2024-12-30,MGLU3,6.009693,1,0.9958482,1,1
2025-01-02,MGLU3,5.944973,0,0.95025504,1,0
2025-01-03,MGLU3,5.7877965,0,0.47639364,0,1
2025-01-06,MGLU3,6.1483784,0,0.00896574,0,1
2025-01-07,MGLU3,6.1021504,0,0.006472597,0,1
2025-01-08,MGLU3,5.7045856,0,0.00031243346,0,1
2025-01-09,MGLU3,5.5566545,1,0.0009888578,0,0
2025-01-10,MGLU3,5.575146,0,0.063548975,0,1
2025-01-13,MGLU3,5.371741,0,0.54552245,1,0
2025-01-14,MGLU3,5.4641976,1,0.6023555,1,1
2025-01-15,MGLU3,5.889499,1,0.95036364,1,1
2025-01-16,MGLU3,5.491935,0,0.98037857,1,0
2025-01-17,MGLU3,5.602883,1,0.99745566,1,1
2025-01-20,MGLU3,5.6491113,1,0.9976351,1,1
2025-01-21,MGLU3,5.6953397,1,0.98929894,1,1
2025-01-22,MGLU3,5.889499,1,0.99785835,1,1
2025-01-23,MGLU3,5.815534,1,0.9981896,1,1
2025-01-24,MGLU3,5.889499,1,0.99984026,1,1
2025-01-27,MGLU3,6.4812226,1,0.99711823,1,1
