date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,PRIO3,46.84,0,0.0058137886,0,1
2024-09-02,PRIO3,46.71,0,0.008488204,0,1
2024-09-03,PRIO3,44.3,0,0.0019673412,0,1
2024-09-04,PRIO3,43.72,0,0.0007144497,0,1
2024-09-05,PRIO3,43.52,0,0.103484005,0,1
2024-09-06,PRIO3,42.46,0,0.1299878,0,1
2024-09-09,PRIO3,41.96,1,0.048110723,0,0
2024-09-10,PRIO3,42.2,1,0.9547347,1,1
2024-09-11,PRIO3,42.53,1,0.99936336,1,1
2024-09-12,PRIO3,42.28,1,0.95593864,1,1
2024-09-13,PRIO3,43.31,1,0.06769673,0,0
2024-09-16,PRIO3,42.74,1,0.79751354,1,1
2024-09-17,PRIO3,43.36,1,0.02029389,0,0
2024-09-18,PRIO3,43.19,1,0.034802675,0,0
2024-09-19,PRIO3,44.01,1,0.15969265,0,0
2024-09-20,PRIO3,44.2,0,0.9570975,1,0
2024-09-23,PRIO3,44.58,0,0.91099185,1,0
2024-09-24,PRIO3,46.54,0,0.98356205,1,0
2024-09-25,PRIO3,44.81,0,0.9983752,1,0
2024-09-26,PRIO3,42.64,0,0.95598304,1,0
2024-09-27,PRIO3,43.58,1,0.9813929,1,1
2024-09-30,PRIO3,43.33,1,0.036952864,0,0
2024-10-01,PRIO3,44.26,1,0.006052227,0,0
2024-10-02,PRIO3,44.12,1,0.011606592,0,0
2024-10-03,PRIO3,44.61,1,0.013043342,0,0
2024-10-04,PRIO3,44.81,1,0.00390971,0,0
2024-10-07,PRIO3,45.53,1,5.9680635e-05,0,0
2024-10-08,PRIO3,44.11,0,5.4274304e-05,0,1
2024-10-09,PRIO3,43.7,0,2.3907885e-05,0,1
2024-10-10,PRIO3,44.88,0,7.573131e-06,0,1
2024-10-11,PRIO3,44.26,0,4.1035684e-05,0,1
2024-10-14,PRIO3,43.43,0,4.2861807e-06,0,1
2024-10-15,PRIO3,43.3,0,0.00014101736,0,1
2024-10-16,PRIO3,42.77,0,0.0013237498,0,1
2024-10-17,PRIO3,42.7,0,0.00011960588,0,1
2024-10-18,PRIO3,42.18,0,0.0005470792,0,1
2024-10-21,PRIO3,41.92,0,0.003602037,0,1
2024-10-22,PRIO3,41.61,0,0.05022643,0,1
2024-10-23,PRIO3,41.2,0,0.10868899,0,1
2024-10-24,PRIO3,41.96,0,0.014325579,0,1
2024-10-25,PRIO3,41.65,0,0.05193711,0,1
2024-10-28,PRIO3,40.95,0,0.058926057,0,1
2024-10-29,PRIO3,40.5,1,0.0035613177,0,0
2024-10-30,PRIO3,41.21,0,0.002009859,0,1
2024-10-31,PRIO3,40.98,0,0.0016868607,0,1
2024-11-01,PRIO3,39.85,0,0.00096853124,0,1
2024-11-04,PRIO3,40.88,0,0.0005919032,0,1
2024-11-05,PRIO3,40.33,0,0.029082563,0,1
2024-11-06,PRIO3,40.89,0,0.0013280773,0,1
2024-11-07,PRIO3,39.91,0,0.000700022,0,1
2024-11-08,PRIO3,38.97,1,0.0016464877,0,0
2024-11-11,PRIO3,39.31,1,0.013229948,0,0
2024-11-12,PRIO3,39.2,1,0.29637828,0,0
2024-11-13,PRIO3,39.35,1,0.63974744,1,1
2024-11-14,PRIO3,39.7,1,0.9495551,1,1
2024-11-18,PRIO3,40.2,0,0.98854595,1,0
2024-11-19,PRIO3,39.77,0,0.98203075,1,0
2024-11-21,PRIO3,39.13,0,0.9976253,1,0
2024-11-22,PRIO3,40.4,1,0.9942954,1,1
2024-11-25,PRIO3,39.85,1,0.9864857,1,1
2024-11-26,PRIO3,39.85,1,0.9487403,1,1
2024-11-27,PRIO3,39.57,1,0.944762,1,1
2024-11-28,PRIO3,39.47,1,0.98617315,1,1
2024-11-29,PRIO3,40.14,1,0.9784409,1,1
2024-12-02,PRIO3,40.0,0,0.41542855,0,1
2024-12-03,PRIO3,40.81,0,0.48232922,0,1
2024-12-04,PRIO3,39.71,0,0.7427831,1,0
2024-12-05,PRIO3,40.66,1,0.5455081,1,1
2024-12-06,PRIO3,39.7,1,0.9258102,1,1
2024-12-09,PRIO3,39.9,1,0.79333884,1,1
2024-12-10,PRIO3,40.05,1,0.8209085,1,1
2024-12-11,PRIO3,41.99,1,0.96568,1,1
2024-12-12,PRIO3,41.05,1,0.93088543,1,1
2024-12-13,PRIO3,41.5,1,0.99955195,1,1
2024-12-16,PRIO3,41.15,0,0.97495544,1,0
2024-12-17,PRIO3,41.32,0,0.006208005,0,1
2024-12-18,PRIO3,39.92,0,0.0013867933,0,1
2024-12-19,PRIO3,39.68,1,0.029538667,0,0
2024-12-20,PRIO3,40.27,1,0.027609212,0,0
2024-12-23,PRIO3,39.25,1,0.92100585,1,1
2024-12-26,PRIO3,39.9,1,0.021690976,0,0
2024-12-27,PRIO3,39.91,1,0.47195396,0,0
2024-12-30,PRIO3,40.15,1,0.49787828,0,0
