date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,RADL3,26.092651,0,0.028782226,0,1
2024-09-02,RADL3,25.732887,1,0.041623183,0,0
2024-09-03,RADL3,25.638208,1,0.023083087,0,0
2024-09-04,RADL3,25.8465,1,0.019153953,0,0
2024-09-05,RADL3,26.42402,0,0.18690304,0,1
2024-09-06,RADL3,25.979044,0,0.75770223,1,0
2024-09-09,RADL3,25.988512,0,0.9994885,1,0
2024-09-10,RADL3,25.695019,0,0.98876125,1,0
2024-09-11,RADL3,25.543535,0,0.98829645,1,0
2024-09-12,RADL3,25.515131,1,0.9244142,1,1
2024-09-13,RADL3,25.278442,1,0.9043847,1,1
2024-09-16,RADL3,25.562471,1,0.9992386,1,1
2024-09-17,RADL3,25.590874,1,0.9999906,1,1
2024-09-18,RADL3,25.912771,1,0.99966085,1,1
2024-09-19,RADL3,25.950642,0,0.9995369,1,0
2024-09-20,RADL3,25.534067,0,0.996139,1,0
2024-09-23,RADL3,25.420456,0,0.990961,1,0
2024-09-24,RADL3,25.136429,0,0.9971795,1,0
2024-09-25,RADL3,24.805063,0,0.7169372,1,0
2024-09-26,RADL3,24.871336,0,0.01098558,0,1
2024-09-27,RADL3,24.331684,0,0.0015875167,0,1
2024-09-30,RADL3,24.132862,0,0.004748822,0,1
2024-10-01,RADL3,24.899738,0,0.004587131,0,1
2024-10-02,RADL3,24.899738,0,0.018448371,0,1
2024-10-03,RADL3,24.293812,0,0.03352009,0,1
2024-10-04,RADL3,24.149498,0,0.6516553,1,0
2024-10-07,RADL3,23.892588,0,0.06726342,0,1
2024-10-08,RADL3,23.730827,0,0.7830937,1,0
2024-10-09,RADL3,23.749859,1,0.9999281,1,1
2024-10-10,RADL3,23.397799,1,0.99980384,1,1
2024-10-11,RADL3,23.19798,1,0.99997616,1,1
2024-10-14,RADL3,23.49295,1,0.99999976,1,1
2024-10-15,RADL3,23.654707,1,0.99999726,1,1
2024-10-16,RADL3,24.349318,1,1.0,1,1
2024-10-17,RADL3,24.111437,0,1.0,1,0
2024-10-18,RADL3,23.940163,0,1.0,1,0
2024-10-21,RADL3,24.111437,0,1.0,1,0
2024-10-22,RADL3,24.035315,0,1.0,1,0
2024-10-23,RADL3,23.454891,0,0.9999871,1,0
2024-10-24,RADL3,23.787918,0,0.9999858,1,0
2024-10-25,RADL3,23.255072,0,0.9946844,1,0
2024-10-28,RADL3,23.23604,1,0.1461944,0,0
