date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,RAIL3,20.940962,0,0.71882457,1,0
2024-09-02,RAIL3,20.586355,0,0.982781,1,0
2024-09-03,RAIL3,20.538435,0,0.99954045,1,0
2024-09-04,RAIL3,20.768452,1,0.9998889,1,1
2024-09-05,RAIL3,20.88346,1,0.99988365,1,1
2024-09-06,RAIL3,20.701363,0,0.9999987,1,0
2024-09-09,RAIL3,20.413843,0,0.9999982,1,0
2024-09-10,RAIL3,20.701363,0,0.9999355,1,0
2024-09-11,RAIL3,20.701363,0,0.9999964,1,0
2024-09-12,RAIL3,20.222166,0,0.9997384,1,0
2024-09-13,RAIL3,20.279669,0,0.9995084,1,0
2024-09-16,RAIL3,20.231749,0,0.9696186,1,0
2024-09-17,RAIL3,20.078405,0,0.9999745,1,0
2024-09-18,RAIL3,19.790886,0,0.999998,1,0
2024-09-19,RAIL3,19.627958,0,0.99999785,1,0
2024-09-20,RAIL3,19.091257,0,0.9999845,1,0
2024-09-23,RAIL3,18.976248,0,0.9995043,1,0
2024-09-24,RAIL3,19.196682,1,0.9996226,1,1
2024-09-25,RAIL3,19.005001,0,0.9993374,1,0
2024-09-26,RAIL3,19.34044,0,0.99984646,1,0
2024-09-27,RAIL3,19.235016,0,0.9999851,1,0
2024-09-30,RAIL3,19.167929,1,0.99999595,1,1
2024-10-01,RAIL3,19.033754,0,0.99998915,1,0
2024-10-02,RAIL3,19.215847,0,0.9999597,1,0
2024-10-03,RAIL3,18.947498,0,0.9999944,1,0
2024-10-04,RAIL3,19.12001,0,0.99999964,1,0
2024-10-07,RAIL3,19.100842,0,0.94425803,1,0
2024-10-08,RAIL3,18.832489,0,0.9999559,1,0
2024-10-09,RAIL3,18.439547,0,0.99999964,1,0
2024-10-10,RAIL3,18.4683,0,0.99989104,1,0
2024-10-11,RAIL3,18.334124,1,0.94659334,1,1
2024-10-14,RAIL3,18.305372,0,0.97519785,1,0
2024-10-15,RAIL3,18.305372,1,0.9971295,1,1
2024-10-16,RAIL3,18.449131,0,0.99999976,1,0
2024-10-17,RAIL3,18.640812,1,0.9999994,1,1
2024-10-18,RAIL3,18.391628,0,1.0,1,0
2024-10-21,RAIL3,18.35329,1,0.9999982,1,1
2024-10-22,RAIL3,18.113691,1,0.9993055,1,1
2024-10-23,RAIL3,18.209532,1,0.99974495,1,1
2024-10-24,RAIL3,18.305372,1,0.9725131,1,1
2024-10-25,RAIL3,18.42038,1,0.97936475,1,1
2024-10-28,RAIL3,18.976248,1,0.99999857,1,1
2024-10-29,RAIL3,19.072088,1,0.99999547,1,1
2024-10-30,RAIL3,18.957083,1,0.9999862,1,1
2024-10-31,RAIL3,19.072088,1,0.9999995,1,1
2024-11-01,RAIL3,18.640812,1,0.99999785,1,1
2024-11-04,RAIL3,19.60879,1,0.9876495,1,1
2024-11-05,RAIL3,19.618374,0,0.0014715398,0,1
2024-11-06,RAIL3,19.838806,0,0.9108248,1,0
