date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,SANB11,28.303993,1,0.9997824,1,1
2024-09-02,SANB11,28.303993,1,0.99941397,1,1
2024-09-03,SANB11,28.358076,0,0.9986462,1,0
2024-09-04,SANB11,28.637512,0,0.7017165,1,0
2024-09-05,SANB11,28.475262,0,0.9770925,1,0
2024-09-06,SANB11,28.177797,0,0.999637,1,0
2024-09-09,SANB11,28.204842,0,0.9310435,1,0
2024-09-10,SANB11,28.150755,0,0.022194501,0,1
2024-09-11,SANB11,27.898365,0,0.0028085874,0,1
2024-09-12,SANB11,27.627941,0,0.00332707,0,1
2024-09-13,SANB11,27.73611,0,0.23892982,0,1
2024-09-16,SANB11,27.609917,0,0.32058263,0,1
2024-09-17,SANB11,27.63696,0,0.0032131549,0,1
2024-09-18,SANB11,27.402592,0,0.012800338,0,1
2024-09-19,SANB11,27.204285,0,0.0034182502,0,1
2024-09-20,SANB11,26.618374,0,0.08036106,0,1
2024-09-23,SANB11,26.041477,0,0.43531585,0,1
2024-09-24,SANB11,26.185703,0,0.9931712,1,0
2024-09-25,SANB11,26.212746,0,0.934468,1,0
2024-09-26,SANB11,26.059505,0,0.96226877,1,0
2024-09-27,SANB11,25.852184,0,0.9971687,1,0
2024-09-30,SANB11,25.590776,1,0.999353,1,1
2024-10-01,SANB11,25.744017,1,0.99967873,1,1
2024-10-02,SANB11,26.230772,1,0.9997789,1,1
2024-10-03,SANB11,25.626833,1,0.99471563,1,1
2024-10-04,SANB11,25.825142,1,0.9743001,1,1
2024-10-07,SANB11,25.879225,1,0.99986625,1,1
2024-10-08,SANB11,25.852184,1,0.56860554,1,1
2024-10-09,SANB11,25.608803,1,0.03183948,0,0
2024-10-10,SANB11,25.780071,1,0.43815604,0,0
2024-10-11,SANB11,25.762043,1,0.9946589,1,1
2024-10-14,SANB11,26.059505,1,0.98161215,1,1
2024-10-15,SANB11,26.086548,1,0.9988814,1,1
