date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-30,VALE3,52.176483,0,0.0006248448,0,1
2024-09-02,VALE3,51.440865,0,0.000887366,0,1
2024-09-03,VALE3,49.522995,0,0.005459417,0,1
2024-09-04,VALE3,49.908318,0,0.0013093974,0,1
2024-09-05,VALE3,50.267372,1,0.035754826,0,0
2024-09-06,VALE3,49.63684,1,0.039739043,0,0
2024-09-09,VALE3,49.63684,1,0.011430526,0,0
2024-09-10,VALE3,49.04134,1,0.016361572,0,0
2024-09-11,VALE3,50.433765,1,0.05486799,0,0
2024-09-12,VALE3,50.889145,1,0.20356844,0,0
2024-09-13,VALE3,51.230686,1,0.012245167,0,0
2024-09-16,VALE3,51.230686,1,0.0052869334,0,0
2024-09-17,VALE3,50.98548,1,0.025633538,0,0
2024-09-18,VALE3,50.389977,1,0.19449416,0,0
2024-09-19,VALE3,50.994236,1,0.8828151,1,1
2024-09-20,VALE3,50.223587,1,0.78500044,1,1
2024-09-23,VALE3,50.381214,1,0.8806993,1,1
2024-09-24,VALE3,52.84204,1,0.97482955,1,1
2024-09-25,VALE3,53.07849,1,0.721053,1,1
2024-09-26,VALE3,56.26618,1,0.30035427,0,0
2024-09-27,VALE3,56.012215,0,0.035924193,0,1
2024-09-30,VALE3,55.61813,0,0.008425505,0,1
2024-10-01,VALE3,55.88961,0,0.13731581,0,1
2024-10-02,VALE3,56.19612,0,0.016323933,0,1
2024-10-03,VALE3,55.118958,0,0.05620467,0,1
2024-10-04,VALE3,54.71612,0,0.863767,1,0
2024-10-07,VALE3,55.197777,1,0.9958578,1,1
2024-10-08,VALE3,53.525116,0,0.9996001,1,0
2024-10-09,VALE3,53.385,1,0.99971586,1,1
2024-10-10,VALE3,53.638966,1,0.9997918,1,1
2024-10-11,VALE3,54.40961,0,0.9999727,1,0
2024-10-14,VALE3,54.234467,0,0.9994179,1,0
2024-10-15,VALE3,53.56891,0,0.97278655,1,0
2024-10-16,VALE3,54.59352,0,0.9704133,1,0
2024-10-17,VALE3,53.209846,0,0.9721966,1,0
2024-10-18,VALE3,53.025948,0,0.2940087,0,1
2024-10-21,VALE3,52.833286,1,0.9296915,1,1
2024-10-22,VALE3,52.903347,1,0.01239348,0,0
2024-10-23,VALE3,51.975063,1,0.002059703,0,0
