feature,grupo,janela,importance
dist_sma_42d,dist_sma,42d,0.029125249
spread_retorno_42d,spread_retorno,42d,0.028079389
beta_63d,beta,63d,0.025413536
dist_sma_14d,dist_sma,14d,0.024034219
beta_14d,beta,14d,0.023741426
z_mercado_42d,z_mercado,42d,0.023509292
dist_sma_5d,dist_sma,5d,0.02327449
spread_retorno_14d,spread_retorno,14d,0.023212705
trend_mercado_42d,trend_mercado,42d,0.022980396
spread_volratio_3d,spread_volratio,3d,0.022513295
trend_mercado_5d,trend_mercado,5d,0.022363976
dist_sma_21d,dist_sma,21d,0.02209328
z_alpha_42d,z_alpha,42d,0.021921469
risco_mercado_5d,risco_mercado,5d,0.021707365
spread_volratio_14d,spread_volratio,14d,0.021041675
trend_mercado_63d,trend_mercado,63d,0.020883264
beta_42d,beta,42d,0.020841576
risco_mercado_21d,risco_mercado,21d,0.020779334
spread_volratio_63d,spread_volratio,63d,0.020699674
risco_mercado_14d,risco_mercado,14d,0.020646425
beta_21d,beta,21d,0.020150276
z_alpha_3d,z_alpha,3d,0.019808028
spread_vol_42d,spread_vol,42d,0.019383652
z_mercado_5d,z_mercado,5d,0.01910827
dist_sma_63d,dist_sma,63d,0.018459583
spread_vol_63d,spread_vol,63d,0.018413136
spread_retorno_3d,spread_retorno,3d,0.01827406
z_mercado_21d,z_mercado,21d,0.018148426
spread_vol_21d,spread_vol,21d,0.018027924
trend_mercado_14d,trend_mercado,14d,0.01781419
z_mercado_63d,z_mercado,63d,0.01759411
spread_vol_5d,spread_vol,5d,0.017539047
risco_mercado_3d,risco_mercado,3d,0.01744391
spread_retorno_21d,spread_retorno,21d,0.017364101
z_alpha_5d,z_alpha,5d,0.017025711
beta_3d,beta,3d,0.016793208
dist_sma_3d,dist_sma,3d,0.016609438
risco_mercado_63d,risco_mercado,63d,0.016430702
z_alpha_63d,z_alpha,63d,0.015808415
beta_5d,beta,5d,0.015534819
spread_retorno_63d,spread_retorno,63d,0.015512456
spread_retorno_5d,spread_retorno,5d,0.0155094145
z_mercado_3d,z_mercado,3d,0.0154438615
trend_mercado_3d,trend_mercado,3d,0.0151173705
spread_volratio_21d,spread_volratio,21d,0.0144469775
spread_vol_3d,spread_vol,3d,0.014340475
spread_volratio_5d,spread_volratio,5d,0.013619936
trend_mercado_21d,trend_mercado,21d,0.0133957425
spread_vol_14d,spread_vol,14d,0.012719822
z_alpha_14d,z_alpha,14d,0.012341355
z_alpha_21d,z_alpha,21d,0.011836027
z_mercado_14d,z_mercado,14d,0.011707295
risco_mercado_42d,risco_mercado,42d,0.010085554
spread_volratio_42d,spread_volratio,42d,0.009330523
