feature,grupo,janela,importance
dist_sma_14d,dist_sma,14d,0.025345998
z_mercado_5d,z_mercado,5d,0.024151517
risco_mercado_21d,risco_mercado,21d,0.022792887
spread_volratio_42d,spread_volratio,42d,0.022271596
z_alpha_5d,z_alpha,5d,0.022049597
z_mercado_14d,z_mercado,14d,0.022006651
risco_mercado_3d,risco_mercado,3d,0.021987608
risco_mercado_63d,risco_mercado,63d,0.021436768
spread_volratio_5d,spread_volratio,5d,0.02139144
risco_mercado_14d,risco_mercado,14d,0.021181284
spread_vol_14d,spread_vol,14d,0.021152597
trend_mercado_3d,trend_mercado,3d,0.020942153
spread_volratio_21d,spread_volratio,21d,0.02078855
z_mercado_63d,z_mercado,63d,0.020663545
spread_retorno_14d,spread_retorno,14d,0.020568602
spread_retorno_42d,spread_retorno,42d,0.02054255
spread_vol_3d,spread_vol,3d,0.020505914
beta_5d,beta,5d,0.020321464
dist_sma_21d,dist_sma,21d,0.020313883
z_mercado_3d,z_mercado,3d,0.01968925
trend_mercado_21d,trend_mercado,21d,0.01948273
beta_3d,beta,3d,0.018999124
spread_vol_42d,spread_vol,42d,0.018938756
spread_vol_21d,spread_vol,21d,0.01887684
risco_mercado_5d,risco_mercado,5d,0.018688941
beta_63d,beta,63d,0.018661033
trend_mercado_42d,trend_mercado,42d,0.01864364
spread_retorno_21d,spread_retorno,21d,0.01857505
spread_volratio_3d,spread_volratio,3d,0.018568225
spread_retorno_3d,spread_retorno,3d,0.018555786
spread_vol_5d,spread_vol,5d,0.018468853
spread_vol_63d,spread_vol,63d,0.018378468
dist_sma_5d,dist_sma,5d,0.0181041
beta_21d,beta,21d,0.017835328
beta_42d,beta,42d,0.017473105
dist_sma_63d,dist_sma,63d,0.017043564
trend_mercado_14d,trend_mercado,14d,0.017032659
risco_mercado_42d,risco_mercado,42d,0.016944164
z_mercado_42d,z_mercado,42d,0.016895548
dist_sma_42d,dist_sma,42d,0.01680678
trend_mercado_63d,trend_mercado,63d,0.016598621
spread_volratio_14d,spread_volratio,14d,0.016380647
z_alpha_3d,z_alpha,3d,0.016374268
z_alpha_21d,z_alpha,21d,0.016319646
z_alpha_63d,z_alpha,63d,0.016189199
spread_retorno_63d,spread_retorno,63d,0.01582779
z_mercado_21d,z_mercado,21d,0.015620842
beta_14d,beta,14d,0.0152429165
z_alpha_14d,z_alpha,14d,0.015128874
spread_volratio_63d,spread_volratio,63d,0.01483935
trend_mercado_5d,trend_mercado,5d,0.013580909
z_alpha_42d,z_alpha,42d,0.012878792
spread_retorno_5d,spread_retorno,5d,0.011224647
dist_sma_3d,dist_sma,3d,0.010716835
