date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,B3SA3,11.77429,1,0.5001523,1,1
2024-08-30,B3SA3,11.905742,0,0.5003188,1,0
2024-09-02,B3SA3,11.671007,0,0.50317,1,0
2024-09-03,B3SA3,11.408105,1,0.50317,1,1
2024-09-04,B3SA3,11.783679,1,0.5042152,1,1
2024-09-05,B3SA3,11.821238,0,0.49373937,0,1
2024-09-06,B3SA3,11.483219,1,0.5140305,1,1
2024-09-09,B3SA3,11.548944,1,0.49232388,0,0
2024-09-10,B3SA3,11.680396,0,0.49963257,0,1
2024-09-11,B3SA3,11.389326,0,0.50015473,1,0
2024-09-12,B3SA3,11.314211,1,0.49965036,0,0
2024-09-13,B3SA3,11.389326,1,0.49332473,0,0
2024-09-16,B3SA3,11.417493,1,0.49332473,0,0
2024-09-17,B3SA3,11.511388,0,0.49963573,0,1
2024-09-18,B3SA3,11.389326,0,0.49965036,0,1
2024-09-19,B3SA3,11.267263,0,0.50271606,1,0
2024-09-20,B3SA3,10.891688,0,0.50271606,1,0
2024-09-23,B3SA3,10.516111,0,0.50756437,1,0
2024-09-24,B3SA3,10.56306,0,0.505841,1,0
2024-09-25,B3SA3,10.218034,0,0.505841,1,0
2024-09-26,B3SA3,10.274854,0,0.498303,0,1
2024-09-27,B3SA3,10.161213,1,0.5013073,1,1
2024-09-30,B3SA3,10.142274,0,0.5068082,1,0
2024-10-01,B3SA3,10.142274,1,0.48719636,0,0
2024-10-02,B3SA3,10.360082,0,0.5095066,1,0
2024-10-03,B3SA3,10.151745,1,0.5098176,1,1
2024-10-04,B3SA3,10.180154,0,0.5187329,1,0
2024-10-07,B3SA3,9.990757,1,0.5098176,1,1
2024-10-08,B3SA3,10.132804,1,0.5229903,1,1
2024-10-09,B3SA3,10.113865,1,0.5051576,1,1
2024-10-10,B3SA3,10.180154,0,0.49242133,0,1
2024-10-11,B3SA3,10.123335,1,0.49242133,0,0
2024-10-14,B3SA3,10.303264,0,0.4896935,0,1
2024-10-15,B3SA3,10.265383,1,0.4731538,0,0
2024-10-16,B3SA3,10.397962,0,0.47485843,0,1
2024-10-17,B3SA3,10.151745,0,0.49292555,0,1
2024-10-18,B3SA3,10.085455,1,0.48510048,0,0
2024-10-21,B3SA3,10.274854,0,0.4996778,0,1
2024-10-22,B3SA3,10.047576,1,0.48966748,0,0
2024-10-23,B3SA3,10.057044,1,0.49020183,0,0
2024-10-24,B3SA3,10.208564,0,0.49309495,0,1
2024-10-25,B3SA3,10.142274,1,0.50015473,1,1
2024-10-28,B3SA3,10.312733,0,0.4893284,0,1
2024-10-29,B3SA3,10.255914,0,0.5004045,1,0
2024-10-30,B3SA3,10.208564,0,0.49309495,0,1
2024-10-31,B3SA3,10.057044,0,0.50271606,1,0
2024-11-01,B3SA3,9.867646,1,0.50271606,1,1
2024-11-04,B3SA3,10.284323,1,0.5028354,1,1
2024-11-05,B3SA3,10.388492,0,0.49349084,0,1
2024-11-06,B3SA3,10.085455,1,0.5014585,1,1
2024-11-07,B3SA3,10.142274,0,0.49965036,0,1
2024-11-08,B3SA3,9.763478,0,0.49292555,0,1
2024-11-11,B3SA3,9.621429,1,0.499606,0,0
2024-11-12,B3SA3,9.763478,0,0.4978852,0,1
2024-11-13,B3SA3,9.687718,1,0.50015473,1,1
2024-11-14,B3SA3,9.725599,0,0.5123849,1,0
2024-11-18,B3SA3,9.469912,0,0.5086478,1,0
2024-11-19,B3SA3,9.488851,0,0.50181836,1,0
2024-11-21,B3SA3,9.299454,1,0.51154053,1,1
2024-11-22,B3SA3,9.488851,1,0.50380653,1,1
2024-11-25,B3SA3,9.60249,0,0.4927448,0,1
2024-11-26,B3SA3,9.640368,0,0.49258643,0,1
2024-11-27,B3SA3,9.242633,0,0.5187329,1,0
2024-11-28,B3SA3,8.6649685,1,0.51612943,1,1
2024-11-29,B3SA3,8.769138,1,0.50589734,1,1
2024-12-02,B3SA3,8.873307,1,0.5300551,1,1
2024-12-03,B3SA3,8.958536,1,0.51103646,1,1
2024-12-04,B3SA3,9.062703,1,0.5023595,1,1
2024-12-05,B3SA3,9.261573,1,0.50837106,1,1
2024-12-06,B3SA3,9.403622,0,0.5012715,1,0
2024-12-09,B3SA3,9.469912,1,0.49661487,0,0
2024-12-10,B3SA3,9.621429,1,0.4957407,0,0
2024-12-11,B3SA3,9.839238,1,0.50502115,1,1
2024-12-12,B3SA3,9.735067,1,0.49943203,0,0
2024-12-13,B3SA3,9.678249,0,0.49943203,0,1
2024-12-16,B3SA3,9.5835495,0,0.5049398,1,0
2024-12-17,B3SA3,9.5835495,1,0.50544405,1,1
2024-12-18,B3SA3,9.337333,1,0.4945702,0,0
2024-12-19,B3SA3,9.450972,1,0.49907848,0,0
2024-12-20,B3SA3,9.725599,1,0.4968981,0,0
2024-12-23,B3SA3,9.716129,1,0.4945702,0,0
2024-12-26,B3SA3,9.782418,1,0.49943203,0,0
2024-12-27,B3SA3,9.810827,0,0.4945702,0,1
2024-12-30,B3SA3,9.772947,0,0.50356877,1,0
2025-01-02,B3SA3,9.719618,1,0.50356877,1,1
2025-01-03,B3SA3,9.624328,1,0.4945702,0,0
2025-01-06,B3SA3,9.89114,0,0.49203673,0,1
2025-01-07,B3SA3,9.824438,1,0.5116262,1,1
2025-01-08,B3SA3,9.814909,0,0.49907848,0,1
2025-01-09,B3SA3,9.719618,0,0.5043375,1,0
2025-01-10,B3SA3,9.338456,0,0.5043375,1,0
2025-01-13,B3SA3,9.328927,1,0.493615,0,0
2025-01-14,B3SA3,9.376573,1,0.493615,0,0
2025-01-15,B3SA3,10.005488,0,0.4987343,0,1
2025-01-16,B3SA3,9.786322,0,0.50291383,1,0
2025-01-17,B3SA3,9.862555,0,0.49459907,0,1
2025-01-20,B3SA3,9.833965,0,0.49579808,0,1
2025-01-21,B3SA3,9.881611,1,0.4991646,0,0
2025-01-22,B3SA3,9.9387865,0,0.48362258,0,1
2025-01-23,B3SA3,9.862555,1,0.49215698,0,0
2025-01-24,B3SA3,9.881611,0,0.48433244,0,1
2025-01-27,B3SA3,10.062664,1,0.4917131,0,0
2025-01-28,B3SA3,10.053135,1,0.4770049,0,0
2025-01-29,B3SA3,10.053135,1,0.4980359,0,0
2025-01-30,B3SA3,10.567702,1,0.5061201,1,1
2025-01-31,B3SA3,10.6629925,0,0.4997117,0,1
2025-02-03,B3SA3,10.634406,0,0.49139753,0,1
2025-02-04,B3SA3,10.548644,0,0.5056256,1,0
2025-02-05,B3SA3,10.472412,1,0.50356877,1,1
2025-02-06,B3SA3,10.69158,0,0.49861392,0,1
2025-02-07,B3SA3,10.443826,1,0.50544405,1,1
2025-02-10,B3SA3,10.577232,0,0.4976153,0,1
2025-02-11,B3SA3,10.653464,1,0.5116262,1,1
2025-02-12,B3SA3,10.520058,1,0.5049398,1,1
2025-02-13,B3SA3,10.643934,1,0.4980359,0,0
2025-02-14,B3SA3,11.044153,0,0.51708245,1,0
2025-02-17,B3SA3,11.034624,0,0.5054902,1,0
2025-02-18,B3SA3,10.977451,0,0.5031846,1,0
2025-02-19,B3SA3,10.834515,0,0.49679852,0,1
2025-02-20,B3SA3,10.758283,0,0.4960298,0,1
2025-02-21,B3SA3,10.69158,0,0.5025952,1,0
2025-02-24,B3SA3,10.329475,0,0.5043375,1,0
2025-02-25,B3SA3,10.29136,0,0.5043375,1,0
2025-02-26,B3SA3,10.138896,1,0.51656425,1,1
2025-02-27,B3SA3,10.196069,0,0.5012994,1,0
2025-02-28,B3SA3,9.910197,1,0.49292555,0,0
2025-03-05,B3SA3,10.034076,1,0.5051576,1,1
2025-03-06,B3SA3,10.138896,0,0.5051576,1,0
2025-03-07,B3SA3,10.196069,0,0.49258643,0,1
2025-03-10,B3SA3,9.976903,1,0.487487,0,0
2025-03-11,B3SA3,9.910197,1,0.49242133,0,0
2025-03-12,B3SA3,10.005488,1,0.5043889,1,1
2025-03-13,B3SA3,11.053683,1,0.50624603,1,1
2025-03-14,B3SA3,12.26387,0,0.49435425,0,1
2025-03-17,B3SA3,11.835065,0,0.50214374,1,0
2025-03-18,B3SA3,11.472961,1,0.5076511,1,1
2025-03-19,B3SA3,11.76836,1,0.4955312,0,0
2025-03-20,B3SA3,11.816005,1,0.49916857,0,0
2025-03-21,B3SA3,11.968471,0,0.49307594,0,1
2025-03-24,B3SA3,11.816005,0,0.49554965,0,1
2025-03-25,B3SA3,11.806477,1,0.5140305,1,1
2025-03-26,B3SA3,11.857074,0,0.5008779,1,0
2025-03-27,B3SA3,11.866652,0,0.48676726,0,1
2025-03-28,B3SA3,11.722986,1,0.5072034,1,1
2025-03-31,B3SA3,11.627212,1,0.5123961,1,1
2025-04-01,B3SA3,11.742144,1,0.5117103,1,1
2025-04-02,B3SA3,11.895385,1,0.5069687,1,1
2025-04-03,B3SA3,12.192289,0,0.50651455,1,0
2025-04-04,B3SA3,11.541013,1,0.5178831,1,1
2025-04-07,B3SA3,11.445236,0,0.5037357,1,0
2025-04-08,B3SA3,11.244106,1,0.51066196,1,1
2025-04-09,B3SA3,11.655944,0,0.5110586,1,0
2025-04-10,B3SA3,11.359037,0,0.5178831,1,0
2025-04-11,B3SA3,11.435658,1,0.5113382,1,1
2025-04-14,B3SA3,11.655944,1,0.51020825,1,1
2025-04-15,B3SA3,11.742144,0,0.5038009,1,0
2025-04-16,B3SA3,11.5505905,0,0.50035995,1,0
2025-04-17,B3SA3,11.665522,1,0.51020825,1,1
2025-04-22,B3SA3,11.895385,1,0.51020825,1,1
2025-04-23,B3SA3,12.115668,1,0.5039058,1,1
2025-04-24,B3SA3,12.709481,1,0.494137,0,0
2025-04-25,B3SA3,12.824411,1,0.5035268,1,1
2025-04-28,B3SA3,12.853145,0,0.5074308,1,0
2025-04-29,B3SA3,12.671169,1,0.48894852,0,0
2025-04-30,B3SA3,12.920187,0,0.49437243,0,1
2025-05-02,B3SA3,12.747791,1,0.49089247,0,0
2025-05-05,B3SA3,12.652015,0,0.5113293,1,0
2025-05-06,B3SA3,12.604126,1,0.5030476,1,1
2025-05-07,B3SA3,12.594549,1,0.5113293,1,1
2025-05-08,B3SA3,13.648086,1,0.5128046,1,1
2025-05-09,B3SA3,13.916259,0,0.4893531,0,1
2025-05-12,B3SA3,13.753439,1,0.48758686,0,0
2025-05-13,B3SA3,14.318517,0,0.5042152,1,0
2025-05-14,B3SA3,14.031189,1,0.49373937,0,0
2025-05-15,B3SA3,14.146121,1,0.5042152,1,1
2025-05-16,B3SA3,14.146121,1,0.4752746,0,0
2025-05-19,B3SA3,14.194008,1,0.49010283,0,0
2025-05-20,B3SA3,14.318517,0,0.48134327,0,1
2025-05-21,B3SA3,13.887526,0,0.5140305,1,0
2025-05-22,B3SA3,13.734283,0,0.5140305,1,0
2025-05-23,B3SA3,13.782173,0,0.49987927,0,1
2025-05-26,B3SA3,13.724707,0,0.49992043,0,1
2025-05-27,B3SA3,13.7725935,0,0.49977848,0,1
2025-05-28,B3SA3,13.695973,0,0.50718874,1,0
2025-05-29,B3SA3,13.50442,1,0.5028294,1,1
2025-05-30,B3SA3,13.360758,0,0.5062775,1,0
2025-06-02,B3SA3,13.130896,1,0.50859874,1,1
2025-06-03,B3SA3,13.581041,0,0.52061695,1,0
2025-06-04,B3SA3,13.360758,0,0.49554965,0,1
2025-06-05,B3SA3,13.006386,1,0.50661063,1,1
2025-06-06,B3SA3,12.996808,0,0.5055059,1,0
2025-06-09,B3SA3,12.604126,0,0.49856135,0,1
2025-06-10,B3SA3,12.584971,1,0.48453683,0,0
2025-06-11,B3SA3,12.680747,0,0.48453683,0,1
2025-06-12,B3SA3,12.431729,1,0.48453683,0,0
2025-06-13,B3SA3,12.498774,1,0.49521434,0,0
2025-06-16,B3SA3,12.901032,1,0.5143616,1,1
2025-06-17,B3SA3,12.958497,1,0.49961102,0,0
2025-06-18,B3SA3,13.207516,0,0.4884083,0,1
2025-06-20,B3SA3,13.044697,0,0.49488723,0,1
2025-06-23,B3SA3,12.833989,1,0.50271606,1,1
2025-06-24,B3SA3,13.019674,1,0.4942014,0,0
2025-06-25,B3SA3,13.106343,1,0.514259,1,1
2025-06-26,B3SA3,13.578211,1,0.49577025,0,0
2025-06-27,B3SA3,13.597469,1,0.48754275,0,0
2025-06-30,B3SA3,14.040447,0,0.51049227,1,0
2025-07-01,B3SA3,13.9634075,1,0.5138887,1,1
2025-07-02,B3SA3,13.915257,0,0.49916857,0,1
2025-07-03,B3SA3,14.078966,1,0.506336,1,1
2025-07-04,B3SA3,14.165636,1,0.506336,1,1
2025-07-07,B3SA3,14.107856,0,0.50536865,1,0
2025-07-08,B3SA3,14.050076,1,0.5001523,1,1
2025-07-09,B3SA3,13.944146,0,0.49754095,0,1
2025-07-10,B3SA3,13.568581,0,0.5013986,1,0
2025-07-11,B3SA3,13.221902,0,0.49471784,0,1
2025-07-14,B3SA3,13.106343,1,0.4942136,0,0
2025-07-15,B3SA3,13.221902,0,0.50694996,1,0
2025-07-16,B3SA3,13.173753,1,0.48604214,0,0
2025-07-17,B3SA3,13.231532,0,0.4982712,0,1
2025-07-18,B3SA3,12.490028,1,0.5187329,1,1
2025-07-21,B3SA3,12.615217,0,0.5037135,1,0
2025-07-22,B3SA3,12.586327,1,0.5037135,1,1
2025-07-23,B3SA3,12.8944845,0,0.477279,0,1
2025-07-24,B3SA3,12.634477,0,0.49292555,0,1
2025-07-25,B3SA3,12.586327,0,0.48510048,0,1
2025-07-28,B3SA3,12.230018,0,0.5205227,1,0
2025-07-29,B3SA3,12.239649,0,0.5187329,1,0
2025-07-30,B3SA3,12.278169,0,0.5112015,1,0
2025-07-31,B3SA3,12.11446,1,0.51154053,1,1
2025-08-01,B3SA3,12.124089,1,0.5085035,1,1
2025-08-04,B3SA3,12.210759,0,0.4982712,0,1
2025-08-05,B3SA3,12.11446,1,0.5046559,1,1
2025-08-06,B3SA3,12.249279,1,0.4896935,0,0
2025-08-07,B3SA3,12.432247,1,0.49258643,0,0
2025-08-08,B3SA3,12.4033575,0,0.4843905,0,1
2025-08-11,B3SA3,12.287799,0,0.49346054,0,1
2025-08-12,B3SA3,12.181869,1,0.5112015,1,1
2025-08-13,B3SA3,12.230018,1,0.49776095,0,0
2025-08-14,B3SA3,12.374468,1,0.49776095,0,0
2025-08-15,B3SA3,12.663365,0,0.49940813,0,1
2025-08-18,B3SA3,12.672996,0,0.49181786,0,1
2025-08-19,B3SA3,12.06631,0,0.49172673,0,1
2025-08-20,B3SA3,11.873711,0,0.49840698,0,1
2025-08-21,B3SA3,11.796672,0,0.48510048,0,1
2025-08-22,B3SA3,12.095201,0,0.481133,0,1
2025-08-25,B3SA3,12.08557,0,0.4922617,0,1
2025-08-26,B3SA3,11.97964,1,0.4922617,0,0
2025-08-27,B3SA3,12.201129,1,0.49258643,0,0
2025-08-28,B3SA3,12.547806,0,0.49926686,0,1
2025-08-29,B3SA3,12.499656,1,0.48115757,0,0
2025-09-01,B3SA3,12.499656,0,0.4924067,0,1
2025-09-02,B3SA3,12.278169,1,0.49215698,0,0
2025-09-03,B3SA3,12.470767,1,0.50694996,1,1
2025-09-04,B3SA3,12.605586,1,0.4860983,0,0
2025-09-05,B3SA3,12.884855,0,0.491026,0,1
2025-09-08,B3SA3,12.653735,0,0.4843905,0,1
2025-09-09,B3SA3,12.528546,0,0.49292555,0,1
2025-09-10,B3SA3,12.490028,1,0.49181786,0,0
2025-09-11,B3SA3,12.634477,0,0.4813371,0,1
2025-09-12,B3SA3,12.470767,1,0.49292555,0,0
2025-09-15,B3SA3,12.875224,1,0.49630854,0,0
2025-09-16,B3SA3,12.9811535,1,0.4872042,0,0
2025-09-17,B3SA3,13.212273,1,0.49453282,0,0
2025-09-18,B3SA3,13.221902,0,0.49163818,0,1
2025-09-19,B3SA3,13.154492,0,0.4853302,0,1
2025-09-22,B3SA3,13.000413,0,0.50015473,1,0
2025-09-23,B3SA3,12.846334,0,0.4966067,0,1
2025-09-24,B3SA3,12.757499,0,0.49748093,0,1
2025-09-25,B3SA3,12.54439,1,0.49936268,0,0
2025-09-26,B3SA3,12.805933,1,0.4943567,0,0
2025-09-29,B3SA3,12.980295,1,0.50781083,1,1
2025-09-30,B3SA3,12.980295,0,0.50068974,1,0
2025-10-01,B3SA3,12.680005,0,0.48966748,0,1
2025-10-02,B3SA3,12.437835,0,0.50271606,1,0
2025-10-03,B3SA3,12.350655,0,0.5009235,1,0
2025-10-06,B3SA3,12.244101,0,0.50041914,1,0
2025-10-07,B3SA3,11.856627,1,0.5187329,1,1
2025-10-08,B3SA3,12.263473,1,0.4978852,0,0
2025-10-09,B3SA3,12.389401,0,0.5203721,1,0
2025-10-10,B3SA3,12.205353,1,0.5009235,1,1
2025-10-13,B3SA3,12.311907,0,0.5086849,1,0
2025-10-14,B3SA3,12.156919,1,0.5009235,1,1
2025-10-15,B3SA3,12.244101,0,0.4893284,0,1
2025-10-16,B3SA3,12.205353,0,0.49963573,0,1
2025-10-17,B3SA3,12.166606,1,0.49332473,0,0
2025-10-20,B3SA3,12.263473,0,0.5013203,1,0
2025-10-21,B3SA3,11.943809,1,0.5192952,1,1
2025-10-22,B3SA3,12.060051,1,0.4828424,0,0
2025-10-23,B3SA3,12.195665,0,0.4828424,0,1
2025-10-24,B3SA3,12.108484,0,0.4828424,0,1
2025-10-27,B3SA3,12.137545,1,0.4828424,0,0
2025-10-28,B3SA3,12.234413,0,0.49332473,0,1
2025-10-29,B3SA3,12.244101,0,0.49332473,0,1
2025-10-30,B3SA3,12.205353,0,0.50068974,1,0
2025-10-31,B3SA3,12.263473,1,0.49332473,0,0
2025-11-03,B3SA3,12.437835,0,0.4828424,0,1
2025-11-04,B3SA3,12.437835,1,0.4828424,0,0
2025-11-05,B3SA3,12.786559,0,0.50781083,1,0
2025-11-06,B3SA3,12.6896925,0,0.5076311,1,0
2025-11-07,B3SA3,12.573449,1,0.50781083,1,1
2025-11-10,B3SA3,12.709065,1,0.4893284,0,0
2025-11-11,B3SA3,13.106223,1,0.48526606,0,0
2025-11-12,B3SA3,13.677744,1,0.5014769,1,1
2025-11-13,B3SA3,14.016782,0,0.49345657,0,1
2025-11-14,B3SA3,13.9877205,0,0.4916159,0,1
2025-11-17,B3SA3,13.716491,0,0.50015473,1,0
2025-11-18,B3SA3,13.609937,0,0.50015473,1,0
2025-11-19,B3SA3,13.416201,1,0.50271606,1,1
2025-11-21,B3SA3,13.454948,1,0.507406,1,1
2025-11-24,B3SA3,13.542129,1,0.5041588,1,1
2025-11-25,B3SA3,13.726178,1,0.49332473,0,0
2025-11-26,B3SA3,14.249265,1,0.51433074,1,1
2025-11-27,B3SA3,14.268638,1,0.49345657,0,0
2025-11-28,B3SA3,14.491434,0,0.51433074,1,0
2025-12-01,B3SA3,14.423628,0,0.48113534,0,1
2025-12-02,B3SA3,14.627049,0,0.50686204,1,0
2025-12-03,B3SA3,14.326758,0,0.50105995,1,0
2025-12-04,B3SA3,14.549556,0,0.50105995,1,0
2025-12-05,B3SA3,13.57119,1,0.51183337,1,1
2025-12-08,B3SA3,13.90054,0,0.5210174,1,0
2025-12-09,B3SA3,13.677744,0,0.51183337,1,0
2025-12-10,B3SA3,13.764925,1,0.4855259,0,0
2025-12-11,B3SA3,13.852106,0,0.48534074,0,1
2025-12-12,B3SA3,13.881166,0,0.49700934,0,1
2025-12-15,B3SA3,13.958661,0,0.49700934,0,1
2025-12-16,B3SA3,13.290273,0,0.50756437,1,0
2025-12-17,B3SA3,12.834993,0,0.505841,1,0
2025-12-18,B3SA3,12.883428,1,0.5145333,1,1
2025-12-19,B3SA3,12.970609,0,0.5220653,1,0
2025-12-22,B3SA3,12.825307,1,0.49856135,0,0
2025-12-23,B3SA3,13.106223,1,0.5143616,1,1
2025-12-26,B3SA3,13.290273,1,0.5182427,1,1
2025-12-29,B3SA3,13.35808,1,0.5035268,1,1
2025-12-30,B3SA3,13.454948,0,0.49571082,0,1
2026-01-02,B3SA3,13.37574,1,0.49552548,0,0
2026-01-05,B3SA3,13.893639,1,0.49171132,0,0
2026-01-06,B3SA3,14.441417,0,0.50598216,1,0
2026-01-07,B3SA3,14.222305,1,0.51815355,1,1
2026-01-08,B3SA3,14.321901,1,0.49714124,0,0
2026-01-09,B3SA3,14.401578,1,0.502615,1,1
2026-01-12,B3SA3,14.431457,0,0.49165276,0,1
2026-01-13,B3SA3,14.252185,1,0.48167583,0,0
2026-01-14,B3SA3,14.670486,1,0.50105995,1,1
2026-01-15,B3SA3,15.058911,1,0.49301767,0,0
2026-01-16,B3SA3,15.178427,0,0.48633966,0,1
2026-01-19,B3SA3,15.038993,0,0.50603795,1,0
2026-01-20,B3SA3,14.61073,1,0.502615,1,1
2026-01-21,B3SA3,15.437376,0,0.49627432,0,1
2026-01-22,B3SA3,15.556891,0,0.49047285,0,1
2026-01-23,B3SA3,15.7560835,0,0.50215495,1,0
2026-01-26,B3SA3,15.61665,1,0.48633966,0,0
2026-01-27,B3SA3,16.09471,1,0.5073445,1,1
2026-01-28,B3SA3,16.443296,1,0.5049534,1,1
2026-01-29,B3SA3,16.61261,0,0.5023312,1,0
2026-01-30,B3SA3,16.08475,1,0.50655884,1,1
